Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SR,Big Ten,58.05,1064,143.32,"Dakota Mathias, Purdue",Dakota Mathias,Purdue,201.37
SR,OVC,-23.04,1126,126.71,"Jonathan Stark, Murray State",Jonathan Stark,Murray State,103.67
FR,ACC,122.32,895,98.49,"Wendell Carter Jr., Duke",Wendell Carter Jr.,Duke,220.81
SR,AAC,135.38,924,104.62,"Gary Clark, Cincinnati",Gary Clark,Cincinnati,240
FR,Pac-12,85.7,1134,138.28,"DeAndre Ayton, Arizona",DeAndre Ayton,Arizona,223.98
SR,ACC,47.28,1158,145.94,"Grayson Allen, Duke",Grayson Allen,Duke,193.22
FR,ACC,58.18,964,124.91,"Marvin Bagley III, Duke",Marvin Bagley III,Duke,183.09
FR,ACC,37.2,1103,103.76,"Gary Trent Jr., Duke",Gary Trent Jr.,Duke,140.96
JR,Big East,55.24,1009,123.38,"Khyri Thomas, Creighton",Khyri Thomas,Creighton,178.62
JR,Big East,37.3,928,76.22,"Paul Jorgensen, Butler",Paul Jorgensen,Butler,113.52
SO,ACC,45.93,375,30.62,"Javin DeLaurier, Duke",Javin DeLaurier,Duke,76.55
SO,SEC,102.26,525,30.87,"Anfernee McLemore, Auburn",Anfernee McLemore,Auburn,133.13
SO,ACC,42.22,335,17.84,"Marques Bolden, Duke",Marques Bolden,Duke,60.06
JR,AAC,107.2,1006,82.07,"Jacob Evans, Cincinnati",Jacob Evans,Cincinnati,189.27
FR,ACC,32.48,963,25.64,"Trevon Duval, Duke",Trevon Duval,Duke,58.12
SR,Big East,5.54,1011,103.32,"Marcus Foster, Creighton",Marcus Foster,Creighton,108.86
JR,Big East,51.74,746,31.31,"Ronnie Harrell, Creighton",Ronnie Harrell,Creighton,83.05
,ACC,12.11,359,30.59,"Alex O'Connell, Duke",Alex O'Connell,Duke,42.7
JR,Southland,54.8,927,-5.14,"T.J. Holyfield, Stephen F. Austin",T.J. Holyfield,Stephen F. Austin,49.66
SO,AAC,69.01,942,48.62,"Jarron Cumberland, Cincinnati",Jarron Cumberland,Cincinnati,117.63
SO,Big Ten,29.1,1004,133.52,"Carsen Edwards, Purdue",Carsen Edwards,Purdue,162.62
SO,Big East,33,441,43.46,"Martin Krampelj, Creighton",Martin Krampelj,Creighton,76.46
JR,ACC,35.29,885,86.62,"Terance Mann, Florida State",Terance Mann,Florida State,121.91
JR,Big Ten,84.65,1045,88.17,"Keita Bates-Diop, Ohio State",Keita Bates-Diop,Ohio State,172.82
SO,WCC,71.86,880,99.39,"Killian Tillie, Gonzaga",Killian Tillie,Gonzaga,171.25
SR,AAC,28.37,973,115.14,"Robert Gray Jr., Houston",Robert Gray Jr.,Houston,143.51
SO,ACC,15.44,150,1.86,"Jack White, Duke",Jack White,Duke,17.3
SO,A-10,39.52,1102,80.83,"Jon Axel Gudmundsson, Davidson",Jon Axel Gudmundsson,Davidson,120.35
JR,AAC,24.47,639,43.62,"Cane Broome, Cincinnati",Cane Broome,Cincinnati,68.09
SO,ACC,8.61,77,1.5,"Justin Robinson, Duke",Justin Robinson,Duke,10.11
SO,Big East,70.14,1115,40.92,"Kamar Baldwin, Butler",Kamar Baldwin,Butler,111.06
JR,Pac-12,1.88,1093,157.69,"Allonzo Trier, Arizona",Allonzo Trier,Arizona,159.57
JR,ACC,145.67,902,13.11,"Paschal Chukwu, Syracuse",Paschal Chukwu,Syracuse,158.78
FR,ACC,6.37,163,3.47,"Jordan Goldwire, Duke",Jordan Goldwire,Duke,9.84
SR,ACC,27.76,851,84.83,"Braian Angola-Rodas, Florida State",Braian Angola-Rodas,Florida State,112.59
SR,Big Ten,55.16,1011,99.98,"Vince Edwards, Purdue",Vince Edwards,Purdue,155.14
SR,Big Ten,44.92,941,93.06,"P.J. Thompson, Purdue",P.J. Thompson,Purdue,137.98
SR,Big East,24.58,1172,86.02,"Kelan Martin, Butler",Kelan Martin,Butler,110.6
SR,Southland,19.4,750,22.17,"Ivan Canete, Stephen F. Austin",Ivan Canete,Stephen F. Austin,41.57
SR,SEC,-13.08,1048,166.26,"Daryl Macon, Arkansas",Daryl Macon,Arkansas,153.18
SR,Big East,19.1,654,44.16,"Toby Hegner, Creighton",Toby Hegner,Creighton,63.26
JR,CUSA,114.66,938,37.62,"Ajdin Penava, Marshall",Ajdin Penava,Marshall,152.28
JR,SEC,55.57,756,58.34,"DeSean Murray, Auburn",DeSean Murray,Auburn,113.91
FR,MVC,50.91,790,40.47,"Cameron Krutwig, Loyola (IL)",Cameron Krutwig,Loyola (IL),91.38
SO,SEC,-7.28,990,114.6,"Jared Harper, Auburn",Jared Harper,Auburn,107.32
JR,SEC,92.65,764,56.39,"Donta Hall, Alabama",Donta Hall,Alabama,149.04
JR,CUSA,-2.49,1303,124.44,"Jon Elmore, Marshall",Jon Elmore,Marshall,121.95
SO,ACC,62.15,762,49.72,"Trent Forrest, Florida State",Trent Forrest,Florida State,111.87
SR,SEC,59.71,1030,87.81,"Chris Chiozza, Florida",Chris Chiozza,Florida,147.52
SO,Southland,-13.73,826,47.31,"Kevon Harris, Stephen F. Austin",Kevon Harris,Stephen F. Austin,33.58
FR,OVC,34.08,1052,64.57,"Temetrius Morant, Murray State",Temetrius Morant,Murray State,98.65
JR,AAC,22.81,950,120.56,"Corey Davis Jr., Houston",Corey Davis Jr.,Houston,143.37
SO,AAC,21.34,655,78.63,"Armoni Brooks, Houston",Armoni Brooks,Houston,99.97
SR,Pac-12,35.44,1086,80.2,"Parker Jackson-Cartwright, Arizona",Parker Jackson-Cartwright,Arizona,115.64
SR,Big East,58.52,1051,74.98,"Jalen Lindsey, Providence",Jalen Lindsey,Providence,133.5
FR,Big Ten,92.78,561,8.61,"Matt Haarms, Purdue",Matt Haarms,Purdue,101.39
JR,ACC,3.98,64,0.34,"Antonio Vrankovic, Duke",Antonio Vrankovic,Duke,4.32
,ACC,0.3,5,0.63,"Mike Buckmire, Duke",Mike Buckmire,Duke,0.93
JR,Pac-12,-2.15,1204,142.04,"Aaron Holiday, UCLA",Aaron Holiday,UCLA,139.89
SO,Big East,35.75,682,63.17,"Sean McDermott, Butler",Sean McDermott,Butler,98.92
JR,WCC,32.76,1109,100.2,"Josh Perkins, Gonzaga",Josh Perkins,Gonzaga,132.96
SO,Big East,49.38,946,42.8,"Alpha Diallo, Providence",Alpha Diallo,Providence,92.18
SO,AAC,43.26,406,12.84,"Tre Scott, Cincinnati",Tre Scott,Cincinnati,56.1
FR,SEC,47.62,682,57.65,"Chuma Okeke, Auburn",Chuma Okeke,Auburn,105.27
FR,ACC,-0.8,14,-0.89,"Jordan Tucker, Duke",Jordan Tucker,Duke,-1.69
SR,ACC,-4.94,908,60.89,"Phil Cofer, Florida State",Phil Cofer,Florida State,55.95
SR,Big East,50.88,1083,26.38,"Rodney Bullock, Providence",Rodney Bullock,Providence,77.26
JR,SEC,92.11,539,10.89,"Horace Spencer, Auburn",Horace Spencer,Auburn,103
FR,WCC,33.94,888,94.12,"Zach Norvell Jr., Gonzaga",Zach Norvell Jr.,Gonzaga,128.06
JR,ACC,103.58,952,48.55,"Anthony Lawrence Jr., Miami (FL)",Anthony Lawrence Jr.,Miami (FL),152.13
SR,SEC,1.89,1061,130.5,"Jaylen Barford, Arkansas",Jaylen Barford,Arkansas,132.39
SR,OVC,19.29,943,33.76,"Terrell Miller Jr., Murray State",Terrell Miller Jr.,Murray State,53.05
SR,WCC,84.71,995,29.39,"Johnathan Williams, Gonzaga",Johnathan Williams,Gonzaga,114.1
JR,SEC,-10.66,967,103.06,"Bryce Brown, Auburn",Bryce Brown,Auburn,92.4
SR,WAC,105.37,925,24.32,"Jemerrio Jones, New Mexico State",Jemerrio Jones,New Mexico State,129.69
,Pac-12,33.09,688,44.9,"Rawle Alkins, Arizona",Rawle Alkins,Arizona,77.99
SR,WCC,48.7,1038,61.32,"Silas Melson, Gonzaga",Silas Melson,Gonzaga,110.02
FR,SEC,80.87,769,46.61,"Daniel Gafford, Arkansas",Daniel Gafford,Arkansas,127.48
,Big Ten,77.27,954,49.91,"Jae'Sean Tate, Ohio State",Jae'Sean Tate,Ohio State,127.18
SR,Pac-12,49.45,1064,76.08,"Thomas Welsh, UCLA",Thomas Welsh,UCLA,125.53
FR,CUSA,4.19,1098,23.07,"Jarrod West, Marshall",Jarrod West,Marshall,27.26
SO,WCC,20.26,686,30.99,"Rui Hachimura, Gonzaga",Rui Hachimura,Gonzaga,51.25
SR,AAC,62.1,823,9.88,"Devin Davis, Houston",Devin Davis,Houston,71.98
SR,Big East,15.99,1021,49.74,"Kyron Cartwright, Providence",Kyron Cartwright,Providence,65.73
FR,ACC,27.46,850,49.13,"Lonnie Walker, Miami (FL)",Lonnie Walker,Miami (FL),76.59
SR,CUSA,-0.02,9,0.09,"Marcus Reed, Marshall",Marcus Reed,Marshall,0.07
SO,ACC,21.55,743,30.97,"CJ Walker, Florida State",CJ Walker,Florida State,52.52
FR,WCC,11,633,38.49,"Corey Kispert, Gonzaga",Corey Kispert,Gonzaga,49.49
SR,A-10,5.7,1165,112.04,"Peyton Aldridge, Davidson",Peyton Aldridge,Davidson,117.74
SR,Pac-12,13.37,1052,106.93,"Shannon Evans, Arizona State",Shannon Evans,Arizona State,120.3
FR,WCC,25.57,283,6.88,"Jacob Larsen, Gonzaga",Jacob Larsen,Gonzaga,32.45
SO,SEC,0,855,43.99,"Mustapha Heron, Auburn",Mustapha Heron,Auburn,43.99
JR,SEC,108.07,737,8.8,"Kevarrius Hayes, Florida",Kevarrius Hayes,Florida,116.87
FR,SEC,4,544,7,"Davion Mitchell, Auburn",Davion Mitchell,Auburn,11
FR,SEC,4.87,924,108.8,"Collin Sexton, Alabama",Collin Sexton,Alabama,113.67
FR,A-10,-21.2,1084,104.25,"Kellan Grady, Davidson",Kellan Grady,Davidson,83.05
SR,AAC,55.53,758,-3.79,"Kyle Washington, Cincinnati",Kyle Washington,Cincinnati,51.74
JR,SEC,12.94,843,76.18,"Jalen Hudson, Florida",Jalen Hudson,Florida,89.12
SR,Pac-12,20.61,923,44.39,"Dusan Ristic, Arizona",Dusan Ristic,Arizona,65
SO,ACC,44.47,772,61.14,"Omer Yurtseven, North Carolina State",Omer Yurtseven,North Carolina State,105.61
FR,Big East,27.1,675,23.41,"Mitchell Ballock, Creighton",Mitchell Ballock,Creighton,50.51
,WCC,16.57,227,6.71,"Jeremy Jones, Gonzaga",Jeremy Jones,Gonzaga,23.28
FR,ACC,73.08,336,-23.75,"Ike Obiagu, Florida State",Ike Obiagu,Florida State,49.33
JR,ACC,32.94,915,69.17,"Torin Dorn, North Carolina State",Torin Dorn,North Carolina State,102.11
JR,SEC,0.47,17,0.34,"Cole Blackstock, Auburn",Cole Blackstock,Auburn,0.81
FR,ACC,10.5,972,82.23,"Braxton Beverly, North Carolina State",Braxton Beverly,North Carolina State,92.73
SO,SEC,55.21,952,20.08,"Dazon Ingram, Alabama",Dazon Ingram,Alabama,75.29
JR,Big Sky,26.08,1063,87.56,"Michael Oguine, Montana",Michael Oguine,Montana,113.64
SR,SEC,66.44,611,7.62,"Trey Thompson, Arkansas",Trey Thompson,Arkansas,74.06
FR,AAC,62.04,532,8.21,"Fabian White Jr., Houston",Fabian White Jr.,Houston,70.25
SO,ACC,56.58,640,16.32,"Bruce Brown, Miami (FL)",Bruce Brown,Miami (FL),72.9
JR,ACC,21.38,347,8.18,"Chris Koumadje, Florida State",Chris Koumadje,Florida State,29.56
FR,ACC,14.6,424,14.6,"Mfiondu Kabengele, Florida State",Mfiondu Kabengele,Florida State,29.2
JR,AAC,12.79,640,21.31,"Justin Jenifer, Cincinnati",Justin Jenifer,Cincinnati,34.1
SR,SEC,5.49,1026,49.38,"Anton Beard, Arkansas",Anton Beard,Arkansas,54.87
SO,SEC,37.34,419,6.72,"Adrio Bailey, Arkansas",Adrio Bailey,Arkansas,44.06
SR,AAC,17.11,475,36.66,"Wes VanBeck, Houston",Wes VanBeck,Houston,53.77
FR,WCC,2.41,99,1.03,"Jesse Wade, Gonzaga",Jesse Wade,Gonzaga,3.44
JR,Big Ten,37.69,971,72.1,"C.J. Jackson, Ohio State",C.J. Jackson,Ohio State,109.79
SO,ACC,-3.62,709,53.03,"Dejan Vasiljevic, Miami (FL)",Dejan Vasiljevic,Miami (FL),49.41
SO,WCC,-1.01,6,-0.01,"Alex Martin, Gonzaga",Alex Martin,Gonzaga,-1.02
SR,A-10,13.51,592,36.67,"Rusty Reigel, Davidson",Rusty Reigel,Davidson,50.18
SO,Big East,25.52,666,12.15,"Davion Mintz, Creighton",Davion Mintz,Creighton,37.67
FR,CUSA,-0.16,4,-0.79,"Will Fenton, Marshall",Will Fenton,Marshall,-0.95
FR,SEC,-0.31,14,-1.18,"Brett Easterling, Auburn",Brett Easterling,Auburn,-1.49
JR,Big East,29.06,696,10.9,"Isaiah Jackson, Providence",Isaiah Jackson,Providence,39.96
SR,A-10,22.46,599,14.65,"Will Magarity, Davidson",Will Magarity,Davidson,37.11
FR,Big Ten,35.8,663,71.6,"Kaleb Wesson, Ohio State",Kaleb Wesson,Ohio State,107.4
SO,SEC,-0.4,10,-1.6,"Thomas Collier, Auburn",Thomas Collier,Auburn,-2
SO,SEC,0.02,10,-2.35,"Devontae Williams, Auburn",Devontae Williams,Auburn,-2.33
SO,ACC,24.83,726,35.28,"Markell Johnson, North Carolina State",Markell Johnson,North Carolina State,60.11
SR,SEC,-0.91,19,-3.14,"Patrick Keim, Auburn",Patrick Keim,Auburn,-4.05
JR,Sun Belt,55.06,1150,49.16,"Malik Benlevi, Georgia State",Malik Benlevi,Georgia State,104.22
JR,AAC,50.25,771,-3.97,"Galen Robinson Jr., Houston",Galen Robinson Jr.,Houston,46.28
JR,OVC,40.44,847,10.11,"Leroy Buchanan, Murray State",Leroy Buchanan,Murray State,50.55
SR,WAC,7.13,1017,96.24,"Zach Lofton, New Mexico State",Zach Lofton,New Mexico State,103.37
SR,Pac-12,7.79,1073,95.43,"Tra Holder, Arizona State",Tra Holder,Arizona State,103.22
SO,SEC,-1.71,15,-2.89,"Will Macoy, Auburn",Will Macoy,Auburn,-4.6
SR,A-10,5.06,517,28.65,"Oskar Michelsen, Davidson",Oskar Michelsen,Davidson,33.71
FR,ACC,-1.09,604,17.52,"M.J. Walker, Florida State",M.J. Walker,Florida State,16.43
SR,ACC,27.42,544,30.36,"Lennard Freeman, North Carolina State",Lennard Freeman,North Carolina State,57.78
,SEC,42.88,610,10.72,"Braxton Key, Alabama",Braxton Key,Alabama,53.6
,WCC,0.15,14,-1.78,"Brian Pete, Gonzaga",Brian Pete,Gonzaga,-1.63
SR,Big East,24.87,647,56.53,"Tyler Wideman, Butler",Tyler Wideman,Butler,81.4
JR,ACC,29.97,452,19.21,"Ebuka Izundu, Miami (FL)",Ebuka Izundu,Miami (FL),49.18
JR,AAC,2.55,124,4.25,"Gabe Grant, Houston",Gabe Grant,Houston,6.8
,ACC,13.8,1095,35.48,"Allerik Freeman, North Carolina State",Allerik Freeman,North Carolina State,49.28
SR,SEC,23.17,500,8.91,"Dustin Thomas, Arkansas",Dustin Thomas,Arkansas,32.08
FR,Big Ten,132.31,731,67.4,"Jaren Jackson Jr., Michigan State",Jaren Jackson Jr.,Michigan State,199.71
JR,OVC,26.67,447,-12.19,"Anthony Smith, Murray State",Anthony Smith,Murray State,14.48
FR,Big East,10.46,573,10.46,"Ty-Shon Alexander, Creighton",Ty-Shon Alexander,Creighton,20.92
JR,SEC,30.66,999,56.21,"KeVaughn Allen, Florida",KeVaughn Allen,Florida,86.87
SR,Pac-12,54.58,783,41.99,"Gyorgy Goloman, UCLA",Gyorgy Goloman,UCLA,96.57
SR,Pac-12,16.35,1001,79.94,"Kodi Justice, Arizona State",Kodi Justice,Arizona State,96.29
,Big East,9.71,152,8.04,"Jacob Epperson, Creighton",Jacob Epperson,Creighton,17.75
JR,Big East,36.55,581,39.6,"Nate Fowler, Butler",Nate Fowler,Butler,76.15
SR,AAC,15.3,446,-9.18,"Nura Zanna, Houston",Nura Zanna,Houston,6.12
FR,SEC,75.4,692,-26.76,"Herb Jones, Alabama",Herb Jones,Alabama,48.64
JR,Big East,0.84,115,14.9,"Kaleb Joseph, Creighton",Kaleb Joseph,Creighton,15.74
SR,Big Ten,38.34,803,57.5,"Isaac Haas, Purdue",Isaac Haas,Purdue,95.84
SO,WCC,2.51,39,-4.34,"Jack Beach, Gonzaga",Jack Beach,Gonzaga,-1.83
SR,ACC,-6.44,511,47.83,"Sam Hunt, North Carolina State",Sam Hunt,North Carolina State,41.39
JR,OVC,23.98,541,-15.68,"Brion Sanchious, Murray State",Brion Sanchious,Murray State,8.3
FR,ACC,77.97,894,14.44,"Marek Dolezaj, Syracuse",Marek Dolezaj,Syracuse,92.41
JR,SEC,2.51,456,-7.54,"Malik Dunbar, Auburn",Malik Dunbar,Auburn,-5.03
SO,Big East,44.16,564,-9.81,"Kalif Young, Providence",Kalif Young,Providence,34.35
SO,Big Ten,66.39,997,97.04,"Miles Bridges, Michigan State",Miles Bridges,Michigan State,163.43
SO,Big Ten,15.66,917,142.49,"Cassius Winston, Michigan State",Cassius Winston,Michigan State,158.15
JR,MVC,13.49,907,70.44,"Clayton Custer, Loyola (IL)",Clayton Custer,Loyola (IL),83.93
JR,ACC,93.69,1141,114.05,"Luke Maye, North Carolina",Luke Maye,North Carolina,207.74
SR,SEC,16.71,980,63.49,"Egor Koulechov, Florida",Egor Koulechov,Florida,80.2
JR,ACC,-14.16,279,20.73,"PJ Savoy, Florida State",PJ Savoy,Florida State,6.57
JR,Southland,-13.57,816,43.72,"Shannon Bogues, Stephen F. Austin",Shannon Bogues,Stephen F. Austin,30.15
FR,AAC,23.08,385,10.9,"Trevor Moore, Cincinnati",Trevor Moore,Cincinnati,33.98
SR,Patriot,-3.72,1024,91.07,"Stephen Brown, Bucknell",Stephen Brown,Bucknell,87.35
SO,SEC,39.18,766,31.34,"Keith Stone, Florida",Keith Stone,Florida,70.52
SO,Big Ten,41.89,629,56.92,"Nick Ward, Michigan State",Nick Ward,Michigan State,98.81
FR,ACC,14.22,395,2.13,"Lavar Batts Jr., North Carolina State",Lavar Batts Jr.,North Carolina State,16.35
SR,MVC,43.57,1014,28.49,"Donte Ingram, Loyola (IL)",Donte Ingram,Loyola (IL),72.06
SO,AAC,39.87,328,-14.2,"Nysier Brooks, Cincinnati",Nysier Brooks,Cincinnati,25.67
SR,Big East,0.63,173,12.63,"Tyler Clement, Creighton",Tyler Clement,Creighton,13.26
SO,A-10,3.8,778,26.63,"KiShawn Pritchett, Davidson",KiShawn Pritchett,Davidson,30.43
JR,Big South,61.73,1087,20.58,"Ed Polite, Jr., Radford","Ed Polite, Jr.",Radford,82.31
,CUSA,-0.66,5,-1.86,"Christian Villers, Marshall",Christian Villers,Marshall,-2.52
FR,SEC,10.63,497,7.09,"Darious Hall, Arkansas",Darious Hall,Arkansas,17.72
,Big 12,35.81,1277,158.89,"Devonte' Graham, Kansas",Devonte' Graham,Kansas,194.7
FR,SEC,9.97,344,18.18,"Mike Okauru, Florida",Mike Okauru,Florida,28.15
JR,ACC,58.37,1090,128.41,"Kenny Williams, North Carolina",Kenny Williams,North Carolina,186.78
SO,AAC,14.27,160,-12.07,"Chris Harris, Houston",Chris Harris,Houston,2.2
SR,ACC,90.09,1030,77.22,"Theo Pinson, North Carolina",Theo Pinson,North Carolina,167.31
SO,Big West,42.37,898,36.09,"Jackson Rowe, Cal State Fullerton",Jackson Rowe,Cal State Fullerton,78.46
FR,AAC,0.22,13,-1.14,"Cedrick Alley Jr, Houston",Cedrick Alley Jr,Houston,-0.92
FR,SEC,6.84,973,35.91,"John Petty, Alabama",John Petty,Alabama,42.75
SR,Pac-12,20.95,321,0,"Keanu Pinder, Arizona",Keanu Pinder,Arizona,20.95
FR,ACC,1.07,4,-0.54,"Anthony Polite, Florida State",Anthony Polite,Florida State,0.53
SR,ACC,22.01,1121,112.06,"Joel Berry, North Carolina",Joel Berry,North Carolina,134.07
FR,Big East,16.22,466,4.05,"Nate Watson, Providence",Nate Watson,Providence,20.27
SR,Big East,12.41,179,-5.55,"Manny Suarez, Creighton",Manny Suarez,Creighton,6.86
SR,MVC,34.75,701,19.69,"Ben Richardson, Loyola (IL)",Ben Richardson,Loyola (IL),54.44
JR,Big Ten,17.52,684,67.74,"Matt McQuaid, Michigan State",Matt McQuaid,Michigan State,85.26
SO,ACC,8.28,1281,68.27,"Tyus Battle, Syracuse",Tyus Battle,Syracuse,76.55
SO,Big East,-0.72,56,-1.43,"Jordan Scurry, Creighton",Jordan Scurry,Creighton,-2.15
FR,ACC,-1.35,6,1.12,"Travis Light, Florida State",Travis Light,Florida State,-0.23
SO,SEC,-17.14,506,29.76,"C.J. Jones, Arkansas",C.J. Jones,Arkansas,12.62
SO,SEC,46.4,440,-15.47,"Daniel Giddens, Alabama",Daniel Giddens,Alabama,30.93
FR,SEC,9.81,349,1.23,"Alex Reese, Alabama",Alex Reese,Alabama,11.04
FR,AAC,21.71,159,-10.32,"Eliel Nsoseme, Cincinnati",Eliel Nsoseme,Cincinnati,11.39
SO,ACC,-0.87,5,0.01,"Harrison Prieto, Florida State",Harrison Prieto,Florida State,-0.86
,SEC,0.16,6,-0.19,"Jt Plummer, Arkansas",Jt Plummer,Arkansas,-0.03
JR,Big Ten,54.63,421,19.41,"Kenny Goins, Michigan State",Kenny Goins,Michigan State,74.04
SO,Ivy,72.27,955,1.68,"AJ Brodeur, Pennsylvania",AJ Brodeur,Pennsylvania,73.95
SR,Big 12,34.8,1168,116.67,"Sviatoslav Mykhailiuk, Kansas",Sviatoslav Mykhailiuk,Kansas,151.47
FR,MVC,33.35,651,19.36,"Lucas Williamson, Loyola (IL)",Lucas Williamson,Loyola (IL),52.71
SR,Patriot,21.64,1084,51.15,"Zach Thomas, Bucknell",Zach Thomas,Bucknell,72.79
,ACC,17.62,705,84.31,"Cameron Johnson, North Carolina",Cameron Johnson,North Carolina,101.93
JR,MVC,31.93,920,16.72,"Marques Townes, Loyola (IL)",Marques Townes,Loyola (IL),48.65
FR,AAC,1.98,36,-3.03,"Mike Adewunmi, Houston",Mike Adewunmi,Houston,-1.05
JR,ACC,36.77,1265,34.73,"Franklin Howard, Syracuse",Franklin Howard,Syracuse,71.5
FR,Big Ten,33.36,264,16.68,"Xavier Tillman, Michigan State",Xavier Tillman,Michigan State,50.04
SO,Big East,9.55,323,7.31,"Maliek White, Providence",Maliek White,Providence,16.86
FR,AAC,6.36,46,-3.83,"Mamoudou Diarra, Cincinnati",Mamoudou Diarra,Cincinnati,2.53
FR,SEC,14,161,6.31,"Dontay Bassett, Florida",Dontay Bassett,Florida,20.31
JR,AAC,14.49,384,-20.42,"Breaon Brady, Houston",Breaon Brady,Houston,-5.93
SO,CAA,-15.82,1070,84.36,"Grant Riller, College of Charleston",Grant Riller,College of Charleston,68.54
,Pac-12,33.11,570,35.17,"De'Quon Lake, Arizona State",De'Quon Lake,Arizona State,68.28
SO,AAC,0.34,9,0.28,"John Koz, Cincinnati",John Koz,Cincinnati,0.62
JR,A-Sun,-37.5,974,105,"Garrison Mathews, Lipscomb",Garrison Mathews,Lipscomb,67.5
SR,SEC,2.63,166,3.79,"Riley Norris, Alabama",Riley Norris,Alabama,6.42
FR,Pac-12,19.55,718,46.91,"Remy Martin, Arizona State",Remy Martin,Arizona State,66.46
SO,SEC,12.16,246,-0.42,"Gorjok Gak, Florida",Gorjok Gak,Florida,11.74
FR,AAC,21.65,325,-22.19,"Keith Williams, Cincinnati",Keith Williams,Cincinnati,-0.54
SO,Big East,18.49,332,-11.55,"Drew Edwards, Providence",Drew Edwards,Providence,6.94
FR,CUSA,4.16,544,-7.27,"Jannson Williams, Marshall",Jannson Williams,Marshall,-3.11
JR,AAC,2.69,58,-8.75,"Valentine Sangoyomi, Houston",Valentine Sangoyomi,Houston,-6.06
