Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
FR,Pac-12,18.42,275,-4.25,"Ira Lee, Arizona",Ira Lee,Arizona,14.17
FR,Pac-12,8.48,949,55.98,"Kris Wilkes, UCLA",Kris Wilkes,UCLA,64.46
SO,Big 12,63.34,753,71.26,"Udoka Azubuike, Kansas",Udoka Azubuike,Kansas,134.6
SR,Big 12,77.98,789,58.49,"Mitchell Solomon, Oklahoma State",Mitchell Solomon,Oklahoma State,136.47
FR,ACC,24.63,511,14.59,"Garrison Brooks, North Carolina",Garrison Brooks,North Carolina,39.22
FR,CUSA,2.85,373,-9.97,"Darius George, Marshall",Darius George,Marshall,-7.12
SR,A-10,-0.81,99,3.23,"Jordan Watkins, Davidson",Jordan Watkins,Davidson,2.42
SR,Big Ten,65.82,1218,103.71,"Muhammad-Ali Abdur-Rahkman, Michigan",Muhammad-Ali Abdur-Rahkman,Michigan,169.53
SO,ACC,-0.49,34,7.34,"Darius Hicks, North Carolina State",Darius Hicks,North Carolina State,6.85
SR,Big Ten,27.92,327,21.22,"Gavin Schilling, Michigan State",Gavin Schilling,Michigan State,49.14
SR,Big Ten,44.36,903,79.85,"Duncan Robinson, Michigan",Duncan Robinson,Michigan,124.21
SR,Patriot,47.49,969,12.31,"Nana Foulland, Bucknell",Nana Foulland,Bucknell,59.8
,SEC,8.45,279,-8.95,"Arlando Cook, Arkansas",Arlando Cook,Arkansas,-0.5
JR,Big Sky,47.66,1046,11,"Bobby Moorehead, Montana",Bobby Moorehead,Montana,58.66
SO,Big Ten,10.58,885,24.18,"Joshua Langford, Michigan State",Joshua Langford,Michigan State,34.76
SR,Big Ten,7.8,571,5.85,"Lourawls Nairn, Michigan State",Lourawls Nairn,Michigan State,13.65
JR,A-Sun,12.32,914,45.75,"Rob Marberry, Lipscomb",Rob Marberry,Lipscomb,58.07
SR,ACC,14.22,395,-11.38,"Abdul-Malik Abu, North Carolina State",Abdul-Malik Abu,North Carolina State,2.84
,Pac-12,43.7,535,13.59,"Mickey Mitchell, Arizona State",Mickey Mitchell,Arizona State,57.29
SO,Southland,24.73,478,-3.53,"John Comeaux, Stephen F. Austin",John Comeaux,Stephen F. Austin,21.2
SO,Big 12,45.55,782,48.31,"Cameron McGriff, Oklahoma State",Cameron McGriff,Oklahoma State,93.86
SO,AAC,-1.02,15,0.47,"Jackson Bart, Cincinnati",Jackson Bart,Cincinnati,-0.55
SR,ACC,0.81,89,-1.77,"Brandon Allen, Florida State",Brandon Allen,Florida State,-0.96
FR,SEC,2.7,33,2.7,"Chase Johnson, Florida",Chase Johnson,Florida,5.4
SR,Big Ten,33.25,597,22.16,"Andrew Dakich, Ohio State",Andrew Dakich,Ohio State,55.41
SO,Big 12,41.17,864,48.8,"Lindy Waters, Oklahoma State",Lindy Waters,Oklahoma State,89.97
SO,SEC,-1.44,18,0.9,"Jonathan Holmes, Arkansas",Jonathan Holmes,Arkansas,-0.54
JR,Big 12,35.43,717,44.29,"Tavarius Shine, Oklahoma State",Tavarius Shine,Oklahoma State,79.72
,SEC,-0.69,15,-0.36,"Mak Krause, Florida",Mak Krause,Florida,-1.05
FR,ACC,46.58,1254,8.1,"Oshae Brissett, Syracuse",Oshae Brissett,Syracuse,54.68
SR,MVC,5.21,631,20.85,"Aundre Jackson, Loyola (IL)",Aundre Jackson,Loyola (IL),26.06
SR,Big Sky,47.02,813,7.12,"Fabijan Krslovic, Montana",Fabijan Krslovic,Montana,54.14
FR,ACC,-0.49,6,-1.28,"Will Miles, Florida State",Will Miles,Florida State,-1.77
SO,Pac-12,0.85,494,11.88,"Dylan Smith, Arizona",Dylan Smith,Arizona,12.73
JR,Big Ten,48.58,899,64.77,"Moritz Wagner, Michigan",Moritz Wagner,Michigan,113.35
JR,Big Sky,-6.2,1179,59.92,"Ahmaad Rorie, Montana",Ahmaad Rorie,Montana,53.72
FR,SEC,23.35,369,-18.81,"Galin Smith, Alabama",Galin Smith,Alabama,4.54
,Sun Belt,29.52,1151,23.62,"D'Marcus Simonds, Georgia State",D'Marcus Simonds,Georgia State,53.14
FR,Big 12,12.59,1094,232.85,"Trae Young, Oklahoma",Trae Young,Oklahoma,245.44
JR,OVC,-13.1,549,16.85,"Byron Hawkins, Murray State",Byron Hawkins,Murray State,3.75
SO,ACC,32.64,800,14.96,"Dewan Huell, Miami (FL)",Dewan Huell,Miami (FL),47.6
SO,MVC,6.1,410,10.84,"Bruno Skokna, Loyola (IL)",Bruno Skokna,Loyola (IL),16.94
FR,ACC,3.43,44,-5.5,"Wyatt Wilkes, Florida State",Wyatt Wilkes,Florida State,-2.07
SO,Big East,33.8,509,25.79,"Henry Baddley, Butler",Henry Baddley,Butler,59.59
,WAC,41.36,874,10.72,"Sidy N'Dir, New Mexico State",Sidy N'Dir,New Mexico State,52.08
FR,ACC,19.56,295,11.53,"Sam Waardenburg, Miami (FL)",Sam Waardenburg,Miami (FL),31.09
FR,AAC,-0.15,18,-3.87,"Sam Martin, Cincinnati",Sam Martin,Cincinnati,-4.02
SO,ACC,-0.1,7,-2.19,"Justin Lindner, Florida State",Justin Lindner,Florida State,-2.29
SO,Pac-12,20.59,576,30.89,"Alex Olesinski, UCLA",Alex Olesinski,UCLA,51.48
SR,Big Ten,12.27,661,39.04,"Kam Williams, Ohio State",Kam Williams,Ohio State,51.31
,Southland,14.04,152,-5.9,"Nathan Bain, Stephen F. Austin",Nathan Bain,Stephen F. Austin,8.14
SR,Big 12,14.68,924,48.93,"Jeffrey Carroll, Oklahoma State",Jeffrey Carroll,Oklahoma State,63.61
FR,ACC,18.69,349,11.84,"Sterling Manley, North Carolina",Sterling Manley,North Carolina,30.53
FR,ACC,-7.85,660,28.05,"Chris Lykes, Miami (FL)",Chris Lykes,Miami (FL),20.2
SO,OVC,6.06,508,-6.06,"Jalen Dupree, Murray State",Jalen Dupree,Murray State,0
FR,ACC,5.44,254,15.87,"Andrew Platek, North Carolina",Andrew Platek,North Carolina,21.31
FR,A-10,1.2,46,-1.95,"Bates Jones, Davidson",Bates Jones,Davidson,-0.75
SO,A-10,-0.66,14,-1.12,"Michael Brown, Davidson",Michael Brown,Davidson,-1.78
SR,Big Ten,12.13,145,-2.48,"Ben Carter, Michigan State",Ben Carter,Michigan State,9.65
SR,Southland,20.48,652,-13.25,"Ty Charles, Stephen F. Austin",Ty Charles,Stephen F. Austin,7.23
FR,OVC,-2.51,46,1.8,"Brion Whitley, Murray State",Brion Whitley,Murray State,-0.71
SR,Big 12,7.5,850,19.5,"Kendall Smith, Oklahoma State",Kendall Smith,Oklahoma State,27
SO,MVC,0.18,18,1.67,"Jake Baughman, Loyola (IL)",Jake Baughman,Loyola (IL),1.85
SR,Big East,20.39,1131,152.9,"Trevon Bluiett, Xavier",Trevon Bluiett,Xavier,173.29
JR,ACC,2.87,55,-2.77,"Shaun Kirk, North Carolina State",Shaun Kirk,North Carolina State,0.1
SR,WAC,28.71,585,20.5,"Johnathon Wilkins, New Mexico State",Johnathon Wilkins,New Mexico State,49.21
SR,MVC,0.34,29,-1.82,"Carson Shanks, Loyola (IL)",Carson Shanks,Loyola (IL),-1.48
SO,Big Ten,-0.74,54,-5.07,"Conner George, Michigan State",Conner George,Michigan State,-5.81
FR,MVC,-1.12,7,-1.1,"Dylan Boehm, Loyola (IL)",Dylan Boehm,Loyola (IL),-2.22
JR,SEC,2.52,478,0.84,"Avery Johnson, Alabama",Avery Johnson,Alabama,3.36
SR,CAA,-25.24,1182,73.77,"Joe Chealey, College of Charleston",Joe Chealey,College of Charleston,48.53
JR,Big Ten,77.96,1035,32.2,"Charles Matthews, Michigan",Charles Matthews,Michigan,110.16
,MVC,0.62,94,-4.97,"Adarius Avery, Loyola (IL)",Adarius Avery,Loyola (IL),-4.35
SR,Big 12,94.31,1118,119.86,"Kenrich Williams, Texas Christian",Kenrich Williams,Texas Christian,214.17
JR,MWC,100.92,1162,78.27,"Cody Martin, Nevada",Cody Martin,Nevada,179.19
JR,Big Ten,17.07,589,35.15,"Ryan Cline, Purdue",Ryan Cline,Purdue,52.22
JR,Sun Belt,14.27,1043,32.1,"Jeff Thomas, Georgia State",Jeff Thomas,Georgia State,46.37
SO,Big Ten,63.37,900,32.42,"Zavier Simpson, Michigan",Zavier Simpson,Michigan,95.79
FR,Pac-12,14.9,758,29.81,"Jaylen Hands, UCLA",Jaylen Hands,UCLA,44.71
SR,Big 12,93.02,630,31.41,"Khadeem Lattin, Oklahoma",Khadeem Lattin,Oklahoma,124.43
FR,SEC,6.26,135,-11.31,"Gabe Osabuohien, Arkansas",Gabe Osabuohien,Arkansas,-5.05
SO,Big 12,42.2,1047,88.07,"Malik Newman, Kansas",Malik Newman,Kansas,130.27
JR,Big Sky,24.09,859,19.57,"Jamar Akoh, Montana",Jamar Akoh,Montana,43.66
SO,SEC,-0.32,5,1.41,"Landon Fuller, Alabama",Landon Fuller,Alabama,1.09
JR,Big 12,17.35,905,74.62,"Christian James, Oklahoma",Christian James,Oklahoma,91.97
SR,Sun Belt,61.12,851,-18.92,"Jordan Session, Georgia State",Jordan Session,Georgia State,42.2
,ACC,27.78,817,-13.89,"Ja'Quan Newton, Miami (FL)",Ja'Quan Newton,Miami (FL),13.89
SR,Big 12,39.66,868,100.68,"Vladimir Brodziansky, Texas Christian",Vladimir Brodziansky,Texas Christian,140.34
SR,Southland,27.56,785,-23.2,"Leon Gilmore, Stephen F. Austin",Leon Gilmore,Stephen F. Austin,4.36
SO,ACC,13.93,289,7.22,"Brandon Robinson, North Carolina",Brandon Robinson,North Carolina,21.15
,Southland,0.04,4,-0.37,"Cameron Mack, Stephen F. Austin",Cameron Mack,Stephen F. Austin,-0.33
,ACC,-0.89,11,-2.93,"Spencer Newman, North Carolina State",Spencer Newman,North Carolina State,-3.82
SO,A-10,-0.44,16,-1.7,"Cal Freundlich, Davidson",Cal Freundlich,Davidson,-2.14
FR,Big 12,5.68,740,52.5,"Brady Manek, Oklahoma",Brady Manek,Oklahoma,58.18
FR,Big East,0.4,8,-0.52,"Andrew Fonts, Providence",Andrew Fonts,Providence,-0.12
FR,Pac-12,14.16,709,25.74,"Romello White, Arizona State",Romello White,Arizona State,39.9
FR,OVC,-2.44,26,-0.98,"Zach Hopewell, Murray State",Zach Hopewell,Murray State,-3.42
,Big 12,42.05,361,-15.29,"Yankuba Sima, Oklahoma State",Yankuba Sima,Oklahoma State,26.76
FR,ACC,3.42,213,-0.76,"Jalek Felton, North Carolina",Jalek Felton,North Carolina,2.66
JR,Big 12,50.8,1115,68.39,"Lagerald Vick, Kansas",Lagerald Vick,Kansas,119.19
JR,MWC,13.54,1091,121.83,"Caleb Martin, Nevada",Caleb Martin,Nevada,135.37
FR,OVC,-0.99,29,-3.81,"Devin Gilmore, Murray State",Devin Gilmore,Murray State,-4.8
SR,ACC,0.83,29,0.98,"Aaron Rohlman, North Carolina",Aaron Rohlman,North Carolina,1.81
SO,A-10,-2.46,26,0.21,"Malcolm Wynter, Davidson",Malcolm Wynter,Davidson,-2.25
SR,MWC,-17.88,917,105.65,"Kendall Stephens, Nevada",Kendall Stephens,Nevada,87.77
SO,A-10,-0.12,75,-6.97,"Dusan Kovacevic, Davidson",Dusan Kovacevic,Davidson,-7.09
FR,Big East,48.13,787,-24.76,"Aaron Thompson, Butler",Aaron Thompson,Butler,23.37
JR,WAC,44.43,507,-8,"Johnny McCants, New Mexico State",Johnny McCants,New Mexico State,36.43
FR,Big 12,52.92,671,28.22,"Marcus Garrett, Kansas",Marcus Garrett,Kansas,81.14
JR,MAAC,-3.97,1110,39.74,"Rickey McGill, Iona",Rickey McGill,Iona,35.77
JR,Big West,-23.13,1018,58.71,"Kyle Allman, Cal State Fullerton",Kyle Allman,Cal State Fullerton,35.58
SO,Big Ten,52.32,450,9.58,"Jon Teske, Michigan",Jon Teske,Michigan,61.9
SO,Big 12,27.22,968,103.78,"Desmond Bane, Texas Christian",Desmond Bane,Texas Christian,131
FR,Big East,-0.03,10,-0.7,"Dajour Dickens, Providence",Dajour Dickens,Providence,-0.73
SO,Big 12,62.18,486,11.07,"Mitch Lightfoot, Kansas",Mitch Lightfoot,Kansas,73.25
JR,MWC,40.56,789,43.35,"Lindsey Drew, Nevada",Lindsey Drew,Nevada,83.91
JR,MWC,0,1170,66.36,"Jordan Caroline, Nevada",Jordan Caroline,Nevada,66.36
FR,Big Ten,33.02,517,15.24,"Isaiah Livers, Michigan",Isaiah Livers,Michigan,48.26
SR,MWC,8.42,679,38.51,"Hallice Cooke, Nevada",Hallice Cooke,Nevada,46.93
FR,A-10,-1.58,162,-7.39,"Carter Collins, Davidson",Carter Collins,Davidson,-8.97
SO,Southland,23.09,781,-24.53,"Aaron Augustin, Stephen F. Austin",Aaron Augustin,Stephen F. Austin,-1.44
,Big 12,-1.37,112,9.62,"Silvio De Sousa, Kansas",Silvio De Sousa,Kansas,8.25
FR,Pac-12,7.5,312,1.61,"Emmanuel Akot, Arizona",Emmanuel Akot,Arizona,9.11
SO,MWC,21.85,725,15.42,"Josh Hall, Nevada",Josh Hall,Nevada,37.27
FR,ACC,3.13,27,-1.78,"Walker Miller, North Carolina",Walker Miller,North Carolina,1.35
,CUSA,2.34,613,-10.54,"Rondale Watson, Marshall",Rondale Watson,Marshall,-8.2
FR,Southland,0.56,61,-3.94,"Stefon Fisher, Stephen F. Austin",Stefon Fisher,Stephen F. Austin,-3.38
,Big 12,23.49,242,-6.83,"Lucas N'Guessan, Oklahoma State",Lucas N'Guessan,Oklahoma State,16.66
SR,CUSA,-6.26,78,-4.02,"Ot Elmore, Marshall",Ot Elmore,Marshall,-10.28
SO,ACC,5.25,27,-4.43,"Shea Rush, North Carolina",Shea Rush,North Carolina,0.82
SR,MAAC,-1.61,897,33.72,"Deyshonee Much, Iona",Deyshonee Much,Iona,32.11
FR,Big East,4.79,137,-2.63,"Christian David, Butler",Christian David,Butler,2.16
FR,Big Ten,34.04,434,2.96,"Nojel Eastern, Purdue",Nojel Eastern,Purdue,37
SR,MVC,-1.56,11,-3.27,"Nick DiNardi, Loyola (IL)",Nick DiNardi,Loyola (IL),-4.83
JR,SWAC,36.57,776,-5.63,"Trayvon Reed, Texas Southern",Trayvon Reed,Texas Southern,30.94
,SEC,-0.08,4,-0.83,"Tyler Barnes, Alabama",Tyler Barnes,Alabama,-0.91
JR,SEC,-4.12,51,-5.83,"Lawson Schaffer, Alabama",Lawson Schaffer,Alabama,-9.95
,ACC,-0.26,11,-0.18,"Kane Ma, North Carolina",Kane Ma,North Carolina,-0.44
FR,Pac-12,-0.35,202,5.2,"Alex Barcello, Arizona",Alex Barcello,Arizona,4.85
SR,Big East,58.16,949,99.21,"J.P. Macura, Xavier",J.P. Macura,Xavier,157.37
SO,Southland,2.41,435,-29.74,"Samuli Nieminen, Stephen F. Austin",Samuli Nieminen,Stephen F. Austin,-27.33
JR,Big East,26.23,766,75.94,"Kaiser Gates, Xavier",Kaiser Gates,Xavier,102.17
JR,WAC,10.52,400,18.93,"Keyon Jones, New Mexico State",Keyon Jones,New Mexico State,29.45
FR,Big East,39.8,736,49.09,"Naji Marshall, Xavier",Naji Marshall,Xavier,88.89
SO,Ivy,9.11,1035,20.04,"Ryan Betley, Pennsylvania",Ryan Betley,Pennsylvania,29.15
FR,ACC,3.6,96,-6.34,"Brandon Huffman, North Carolina",Brandon Huffman,North Carolina,-2.74
FR,Big 12,-3.7,701,75.15,"Kouat Noi, Texas Christian",Kouat Noi,Texas Christian,71.45
,SEC,-0.73,13,-0.53,"Andrew Fava, Florida",Andrew Fava,Florida,-1.26
,CAA,10.89,737,16.95,"Jarrell Brantley, College of Charleston",Jarrell Brantley,College of Charleston,27.84
JR,MEAC,11.65,847,16.03,"Pablo Rivas, North Carolina Central",Pablo Rivas,North Carolina Central,27.68
FR,Big 12,130.25,875,33.66,"Mohamed Bamba, Texas",Mohamed Bamba,Texas,163.91
SO,Big East,3.24,109,-3.24,"Joey Brunk, Butler",Joey Brunk,Butler,0
SO,Pac-12,5.24,733,22.27,"Prince Ali, UCLA",Prince Ali,UCLA,27.51
SO,Big Ten,21.53,580,5.87,"Andre Wesson, Ohio State",Andre Wesson,Ohio State,27.4
SR,Ivy,32.21,915,-4.83,"Darnell Foreman, Pennsylvania",Darnell Foreman,Pennsylvania,27.38
JR,CUSA,-47.57,1186,36.24,"C.J. Burks, Marshall",C.J. Burks,Marshall,-11.33
SO,Big Ten,12.85,282,14.28,"Micah Potter, Ohio State",Micah Potter,Ohio State,27.13
SO,ACC,5.89,132,-8.95,"Seventh Woods, North Carolina",Seventh Woods,North Carolina,-3.06
SO,Big 12,-9.08,343,19.98,"Thomas Dziagwa, Oklahoma State",Thomas Dziagwa,Oklahoma State,10.9
JR,Big 12,-2.74,33,0.76,"Davon Dillard, Oklahoma State",Davon Dillard,Oklahoma State,-1.98
,ACC,-0.28,11,-0.8,"Josh Heath, Miami (FL)",Josh Heath,Miami (FL),-1.08
JR,Big 12,82.33,1075,119.92,"Dean Wade, Kansas State",Dean Wade,Kansas State,202.25
FR,Big Ten,13.89,424,20.13,"Jordan Poole, Michigan",Jordan Poole,Michigan,34.02
FR,MVC,0.23,70,-9.95,"Christian Negron, Loyola (IL)",Christian Negron,Loyola (IL),-9.72
JR,Big 12,63.43,1025,48,"Kerwin Roach Jr., Texas",Kerwin Roach Jr.,Texas,111.43
,MWC,0.62,5,0.79,"Justin Brent, Nevada",Justin Brent,Nevada,1.41
JR,MAAC,-32.63,868,57.49,"Schadrac Casimir, Iona",Schadrac Casimir,Iona,24.86
SO,Big 12,5.94,673,-10.69,"Brandon Averette, Oklahoma State",Brandon Averette,Oklahoma State,-4.75
SO,OVC,-3.52,86,-9.09,"Jachai Taylor, Murray State",Jachai Taylor,Murray State,-12.61
,Big 12,0.75,71,-0.25,"Sam Cunliffe, Kansas",Sam Cunliffe,Kansas,0.5
,Big East,35.62,494,41.85,"Sean O'Mara, Xavier",Sean O'Mara,Xavier,77.47
FR,Big 12,-2.74,50,-2.38,"Zack Dawson, Oklahoma State",Zack Dawson,Oklahoma State,-5.12
JR,Patriot,16.9,490,7.11,"Nate Sestina, Bucknell",Nate Sestina,Bucknell,24.01
JR,Big 12,56.22,543,-3.12,"Jamuni McNeace, Oklahoma",Jamuni McNeace,Oklahoma,53.1
,Big 12,-0.79,7,0.92,"James Sosinski, Kansas",James Sosinski,Kansas,0.13
FR,Big Ten,23.7,453,0,"Musa Jallow, Ohio State",Musa Jallow,Ohio State,23.7
FR,Big East,-0.54,22,0.5,"Campbell Donovan, Butler",Campbell Donovan,Butler,-0.04
SR,Big East,2.22,19,-3.57,"Tom Planek, Providence",Tom Planek,Providence,-1.35
SO,Big 12,-0.7,22,-4.54,"Trey Reeves, Oklahoma State",Trey Reeves,Oklahoma State,-5.24
FR,Big East,18.37,406,-28.96,"Makai Ashton-Langford, Providence",Makai Ashton-Langford,Providence,-10.59
FR,Pac-12,2.42,352,-1.81,"Brandon Randolph, Arizona",Brandon Randolph,Arizona,0.61
FR,MWC,55.33,787,48.41,"Jalen McDaniels, San Diego State",Jalen McDaniels,San Diego State,103.74
SR,Ivy,-19.63,587,41.32,"Caleb Wood, Pennsylvania",Caleb Wood,Pennsylvania,21.69
SR,ACC,155.87,912,30.35,"Isaiah Wilkins, Virginia",Isaiah Wilkins,Virginia,186.22
SO,Southern,121.58,910,-42.55,"James Dickey, North Carolina-Greensboro",James Dickey,North Carolina-Greensboro,79.03
JR,Southland,-4.67,133,-25.8,"Jovan Grujic, Stephen F. Austin",Jovan Grujic,Stephen F. Austin,-30.47
SR,ACC,78.78,1063,106.11,"Devon Hall, Virginia",Devon Hall,Virginia,184.89
JR,WAC,15.75,599,5.25,"Eli Chuha, New Mexico State",Eli Chuha,New Mexico State,21
SR,MAAC,4.49,836,16.46,"Zach Lewis, Iona",Zach Lewis,Iona,20.95
JR,Pac-12,-0.35,6,0.73,"Tyler Trillo, Arizona",Tyler Trillo,Arizona,0.38
SO,Big 12,56.26,1024,57.97,"Xavier Sneed, Kansas State",Xavier Sneed,Kansas State,114.23
JR,ACC,-1.14,12,-0.35,"Mike Robinson, Miami (FL)",Mike Robinson,Miami (FL),-1.49
FR,SEC,-1.57,307,-11.52,"Deaundrae Ballard, Florida",Deaundrae Ballard,Florida,-13.09
,A-10,3.35,969,115.67,"Jaylen Adams, St. Bonaventure",Jaylen Adams,St. Bonaventure,119.02
SO,ACC,77.68,1007,74.63,"Ty Jerome, Virginia",Ty Jerome,Virginia,152.31
SO,MVC,8.6,347,-30.39,"Cameron Satterwhite, Loyola (IL)",Cameron Satterwhite,Loyola (IL),-21.79
SO,ACC,27.84,556,-8.08,"Matthew Moyer, Syracuse",Matthew Moyer,Syracuse,19.76
JR,Big 12,2.39,622,21.47,"Rashard Odomes, Oklahoma",Rashard Odomes,Oklahoma,23.86
SR,CAA,7.16,1090,10.74,"Cameron Johnson, College of Charleston",Cameron Johnson,College of Charleston,17.9
,Pac-12,0.03,1,-0.02,"Matt Weyand, Arizona",Matt Weyand,Arizona,0.01
JR,Big 12,35.81,1132,60.31,"Barry Brown, Kansas State",Barry Brown,Kansas State,96.12
FR,Big South,3.23,1023,14.52,"Carlik Jones, Radford",Carlik Jones,Radford,17.75
FR,Big East,-1.81,61,-4.37,"Jerald Gillens-Butler, Butler",Jerald Gillens-Butler,Butler,-6.18
SO,CUSA,-3.09,45,-9.02,"Christian Thieneman, Marshall",Christian Thieneman,Marshall,-12.11
SO,Big 12,0.47,245,2.82,"Matt Freeman, Oklahoma",Matt Freeman,Oklahoma,3.29
SR,Big 12,93.01,1176,165.35,"Jevon Carter, West Virginia",Jevon Carter,West Virginia,258.36
SR,MWC,59.64,808,19.88,"Malik Pope, San Diego State",Malik Pope,San Diego State,79.52
SO,ACC,-2.56,52,-5.57,"Rodney Miller, Miami (FL)",Rodney Miller,Miami (FL),-8.13
SO,Big 12,139.27,843,4.44,"Sagaba Konate, West Virginia",Sagaba Konate,West Virginia,143.71
SO,ACC,40.16,1062,57.83,"Kyle Guy, Virginia",Kyle Guy,Virginia,97.99
JR,Big 12,24.75,640,22.5,"JD Miller, Texas Christian",JD Miller,Texas Christian,47.25
JR,Summit,64.55,917,44.69,"Tevin King, South Dakota State",Tevin King,South Dakota State,109.24
SO,Big East,33.6,981,40.67,"Quentin Goodin, Xavier",Quentin Goodin,Xavier,74.27
FR,Big 12,-1.45,23,-0.24,"Chris Teahan, Kansas",Chris Teahan,Kansas,-1.69
SR,Big South,31.87,777,-15.93,"Randy Phillips, Radford",Randy Phillips,Radford,15.94
SO,Big 12,42.42,637,8.48,"Makol Mawien, Kansas State",Makol Mawien,Kansas State,50.9
SO,Big East,29.88,448,24.23,"Tyrique Jones, Xavier",Tyrique Jones,Xavier,54.11
SO,WAC,20.14,884,-4.65,"A.J. Harris, New Mexico State",A.J. Harris,New Mexico State,15.49
SR,MAAC,-10.54,327,25.75,"Jan Svandrlik, Iona",Jan Svandrlik,Iona,15.21
JR,Big Ten,12.89,270,14.73,"Grady Eifert, Purdue",Grady Eifert,Purdue,27.62
FR,Big Ten,20.01,298,-4.88,"Eli Brooks, Michigan",Eli Brooks,Michigan,15.13
FR,Southern,35.16,554,21.28,"Isaiah Miller, North Carolina-Greensboro",Isaiah Miller,North Carolina-Greensboro,56.44
,Big 12,16.63,347,-14.64,"Kristian Doolittle, Oklahoma",Kristian Doolittle,Oklahoma,1.99
SR,Big 12,13.3,946,118.04,"Daxter Miles, West Virginia",Daxter Miles,West Virginia,131.34
SO,Pac-12,0.4,7,-0.81,"Jake Desjardins, Arizona",Jake Desjardins,Arizona,-0.41
JR,SEC,93.09,649,39.43,"Kyle Alexander, Tennessee",Kyle Alexander,Tennessee,132.52
FR,ACC,29.85,330,-15.99,"Bourama Sidibe, Syracuse",Bourama Sidibe,Syracuse,13.86
SO,Big Ten,4.43,123,9.26,"Ibi Watson, Michigan",Ibi Watson,Michigan,13.69
