Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
163,James Harden,1,27,HOU,28,28,36.8,8,18.3,0.439,3,8.5,0.356,5,9.8,0.513,0.522,8.6,10.3,0.836,1.3,6.7,8,11.8,1.5,0.3,5.6,2.6,27.7
419,Russell Westbrook,1,28,OKC,27,27,35.1,10.1,23.8,0.423,1.8,5.4,0.327,8.3,18.4,0.452,0.46,8.4,10.4,0.814,2.1,8.4,10.5,11,1.3,0.3,5.6,2.5,30.4
414,John Wall,1,26,WAS,23,23,36.2,8.7,19,0.456,1.4,3.7,0.372,7.3,15.2,0.477,0.493,5.5,6.7,0.824,0.9,3.5,4.3,9.6,2.3,0.6,4.4,2.3,24.2
326,Chris Paul,1,31,LAC,27,27,31.8,5.8,12.6,0.462,2.1,5.1,0.403,3.7,7.4,0.502,0.544,4.1,4.7,0.881,0.7,4.4,5.1,9.4,2.3,0.2,2.3,2.5,17.8
206,LeBron James,3,32,CLE,23,23,36.8,9.2,17.8,0.517,1.6,4.6,0.352,7.6,13.3,0.574,0.562,5,7.2,0.687,1.2,6.4,7.6,9,1.4,0.5,4,1.7,25
133,Tim Frazier,1,26,NOP,27,23,30.8,3.9,9,0.426,0.9,2.4,0.369,3,6.6,0.447,0.475,2.3,2.8,0.827,0.7,2.9,3.6,7.5,1,0.2,2.4,2.8,10.9
155,Draymond Green,4,26,GSW,27,27,32.8,3.7,8.9,0.423,1.2,3.5,0.34,2.6,5.4,0.476,0.49,1.8,2.7,0.662,1.9,6.9,8.7,7.3,2.2,1.4,2,2.9,10.5
257,Kyle Lowry,1,30,TOR,26,26,37.2,6.8,15,0.456,3.3,7.3,0.455,3.5,7.7,0.458,0.567,4.4,5.2,0.844,1,3.8,4.7,7.3,1.4,0.3,2.8,2.9,21.4
385,Jeff Teague,1,28,IND,28,28,31.7,4.9,11.6,0.425,0.9,3,0.306,4,8.6,0.467,0.465,4.3,5.2,0.828,0.4,3.5,4,7,1.9,0.5,2.6,2.5,15.1
352,Rajon Rondo,1,30,CHI,22,22,31,3.5,8.8,0.392,0.5,1.7,0.316,2.9,7.1,0.41,0.423,0.6,1.1,0.542,1,5.4,6.4,6.9,1.4,0.3,2.7,2.5,8
108,Goran Dragic,1,30,MIA,22,22,33.8,6.8,15,0.45,1.3,3.5,0.377,5.5,11.5,0.472,0.494,3.7,4.5,0.818,0.9,3.1,4,6.7,1.1,0.2,3.1,2.8,18.5
356,Ricky Rubio,1,26,MIN,21,21,31.2,2.1,5.8,0.364,0.6,2.3,0.25,1.5,3.5,0.438,0.413,2.1,2.6,0.818,1.3,2.8,4.1,6.6,1.5,0.1,1.9,2.6,6.9
425,Deron Williams,1,32,DAL,18,18,30.2,4.5,11.7,0.386,1.4,4.8,0.302,3.1,6.9,0.444,0.448,2.4,2.6,0.935,0.2,2.1,2.2,6.6,0.6,0.1,2,2.4,12.8
351,Sergio Rodriguez,1,30,PHI,25,24,27.3,3.6,9.1,0.392,1.4,4.1,0.343,2.2,5,0.432,0.469,0.3,0.3,0.875,0.4,2.7,3.1,6.5,1,0.2,2.6,1.5,8.8
363,Dennis Schroder,1,23,ATL,27,27,30.2,6.4,14,0.456,1.4,3.7,0.374,5,10.4,0.486,0.505,2.4,3,0.793,0.5,2.6,3,6.3,0.8,0.2,3.2,1.6,16.6
389,Isaiah Thomas,1,27,BOS,22,22,33.4,8,18.9,0.425,2.2,6.6,0.331,5.9,12.3,0.476,0.483,7.7,8.7,0.885,0.5,2.1,2.6,6.1,0.9,0.1,2.2,2.3,26
16,Giannis Antetokounmpo,2,22,MIL,25,25,34.7,8.4,16,0.524,0.7,2.5,0.274,7.7,13.6,0.569,0.545,5.1,6.6,0.765,1.8,7.2,9.1,6,2.1,2,3.3,3.8,22.6
187,Jrue Holiday,1,26,NOP,13,7,30.5,5.9,13.5,0.438,1.4,4.5,0.31,4.5,9.1,0.5,0.489,2.1,3.2,0.659,0.8,3.1,3.8,6,1.2,0.5,2.5,2.9,15.3
92,Stephen Curry,1,28,GSW,28,28,33.1,8,16.9,0.475,3.8,9.4,0.403,4.3,7.5,0.564,0.586,4.9,5.2,0.932,0.7,3.6,4.4,5.9,1.6,0.2,2.9,2.5,24.7
251,Jeremy Lin,1,28,BRK,7,5,24.9,5.3,11.3,0.468,1.1,3.4,0.333,4.1,7.9,0.527,0.519,2.9,4,0.714,0.3,3.3,3.6,5.9,1.1,0.6,2,0.9,14.6
374,Ish Smith,1,28,DET,29,21,27.3,4,9.6,0.417,0.3,1.3,0.243,3.7,8.3,0.444,0.433,1.1,1.4,0.756,0.3,2.6,2.9,5.9,0.8,0.3,1.4,1.7,9.4
250,Damian Lillard,1,26,POR,29,29,35.5,8.9,19.1,0.463,2.7,7.2,0.368,6.2,11.9,0.52,0.532,7.1,7.9,0.895,0.6,3.9,4.5,5.8,0.9,0.3,2.7,2.5,27.4
83,Mike Conley,1,29,MEM,18,17,31.9,5.8,13.4,0.436,2.3,5.2,0.452,3.5,8.2,0.426,0.523,4.6,5.1,0.891,0.4,3.1,3.5,5.7,1.4,0.6,2.3,1.6,18.6
100,Matthew Dellavedova,1,26,MIL,25,25,28.2,3.1,7.8,0.393,1.1,3,0.36,2,4.8,0.413,0.462,0.8,1,0.833,0.4,2.1,2.5,5.7,0.8,0,1.9,2,8
328,Elfrid Payton,1,22,ORL,28,16,28.6,4.5,10.2,0.442,0.5,2.2,0.246,4,8,0.496,0.468,1.4,2.3,0.585,0.8,3,3.8,5.7,1.2,0.6,1.9,2,10.9
26,J.J. Barea,1,32,DAL,9,5,33.1,5.7,13.7,0.415,2,5.2,0.383,3.7,8.4,0.434,0.488,3,3.1,0.964,0.4,3,3.4,5.4,0.7,0.1,2,0.9,16.3
31,Nicolas Batum,2,28,CHO,27,27,34.5,4.5,11.9,0.379,1.8,5.4,0.333,2.7,6.5,0.417,0.455,2.9,3.6,0.794,0.6,6.9,7.5,5.4,1.1,0.4,2.4,1.7,13.7
47,Eric Bledsoe,1,27,PHO,27,27,32.3,6.8,15.4,0.443,1.3,4.5,0.298,5.5,10.9,0.503,0.487,4.8,5.7,0.832,0.9,4.5,5.4,5.4,1.6,0.3,3,2.8,19.7
192,Al Horford,5,30,BOS,16,16,32.7,6,12.6,0.478,1.4,4,0.359,4.6,8.6,0.533,0.535,2.1,2.6,0.829,1.1,5.2,6.3,5.3,0.6,2.4,1.6,2.1,15.6
210,Brandon Jennings,1,27,NYK,27,4,23.9,2.7,7.3,0.376,1,3.3,0.307,1.7,4,0.431,0.444,1.8,2.2,0.814,0.4,2.3,2.7,5.3,1,0,2,1.4,8.3
413,Kemba Walker,1,26,CHO,27,27,33.2,8,17.3,0.463,2.7,6.4,0.414,5.3,10.9,0.491,0.54,3.8,4.8,0.791,0.4,3.3,3.8,5.3,1.4,0.3,2.1,1.4,22.4
203,Kyrie Irving,1,24,CLE,23,23,34.2,8.9,18.5,0.481,2.5,5.8,0.425,6.4,12.7,0.507,0.548,3.5,4,0.87,0.7,2.4,3.1,5,0.7,0.2,2.5,1.9,23.8
43,Patrick Beverley,2,28,HOU,17,17,30.5,3.1,7.4,0.424,1.5,3.9,0.394,1.6,3.5,0.458,0.528,0.5,0.7,0.667,1.9,4.1,5.9,4.8,1.4,0.5,1.5,3.3,8.2
205,Reggie Jackson,1,26,DET,8,8,26,5.1,13.3,0.387,1.4,3.9,0.355,3.8,9.4,0.4,0.439,2.6,3.1,0.84,0,1.9,1.9,4.8,0.6,0.1,2,3.1,14.3
380,Lance Stephenson,2,26,NOP,6,0,27,4.3,9.2,0.473,0.2,1.7,0.1,4.2,7.5,0.556,0.482,0.8,1.3,0.625,0.5,2.5,3,4.8,0.3,0.2,1.8,3,9.7
81,Darren Collison,1,29,SAC,18,14,31.1,4.7,10.1,0.467,1.2,2.8,0.412,3.6,7.3,0.489,0.525,2.9,3.4,0.839,0.4,1.7,2.1,4.7,1.2,0.1,2.1,1.7,13.5
113,Kevin Durant,3,28,GSW,28,28,34.3,9,16.8,0.538,1.9,4.7,0.409,7.1,12.1,0.589,0.596,5.8,6.7,0.862,0.7,7.8,8.5,4.7,1.3,1.6,2.3,2.1,25.8
272,T.J. McConnell,1,24,PHI,26,1,19.3,1.6,3.8,0.429,0.1,0.5,0.154,1.5,3.3,0.471,0.439,0.5,0.7,0.706,0.4,2.1,2.5,4.7,1.4,0.1,1.5,1.7,3.8
159,Blake Griffin,4,27,LAC,25,25,33.4,7.8,16.3,0.48,0.2,0.9,0.227,7.6,15.4,0.495,0.487,5.1,6.8,0.749,2.1,6.8,8.9,4.6,1,0.5,2.4,2.7,21
123,Jordan Farmar,1,30,SAC,2,0,17.5,2,6,0.333,2,4.5,0.444,0,1.5,0,0.5,0,0,,0.5,1,1.5,4.5,1,0,1.5,0.5,6
240,Ty Lawson,1,29,SAC,26,14,24.9,2.5,6.6,0.384,0.5,1.8,0.298,2,4.8,0.416,0.424,1.2,1.6,0.762,0.8,2,2.8,4.5,1.2,0.1,1.8,1.5,6.8
323,Tony Parker,1,34,SAS,18,18,25.3,4,8.8,0.453,0.4,1.1,0.35,3.6,7.7,0.468,0.475,1.6,1.8,0.875,0.2,1.5,1.7,4.5,0.4,0.1,1.6,1.9,9.9
359,D'Angelo Russell,1,20,LAL,17,17,25.5,5.1,12.9,0.397,2.4,6.2,0.387,2.7,6.6,0.407,0.491,2.4,3.1,0.769,0.5,2.8,3.3,4.5,1.2,0.3,3,2.1,15
353,Derrick Rose,1,28,NYK,23,23,31,6.6,14.4,0.456,0.3,1.5,0.235,6.2,12.9,0.481,0.468,2.9,3.5,0.838,1.2,2.7,4,4.4,0.7,0.4,2.4,1.6,16.4
32,Jerryd Bayless,1,28,PHI,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11
303,Jameer Nelson,1,34,DEN,27,6,26.1,3.7,8.5,0.437,1.2,3.3,0.367,2.5,5.1,0.482,0.509,0.6,0.8,0.727,0.4,2.2,2.6,4.3,0.7,0.1,2,3.1,9.2
331,Mason Plumlee,5,26,POR,29,29,27.5,4.4,8.1,0.54,0,0.1,0,4.4,8,0.545,0.54,1.7,3.3,0.51,1.9,5.1,7,4.3,0.9,1.1,1.7,2.8,10.4
373,Marcus Smart,1,22,BOS,23,9,30.6,3.6,9.7,0.372,1.3,4.6,0.276,2.3,5.1,0.458,0.437,1.4,2.2,0.64,1,3.2,4.2,4.3,1.2,0.3,1.9,2.3,9.9
63,Jimmy Butler,3,27,CHI,26,26,36.3,7.6,16.7,0.453,1.2,3.3,0.345,6.4,13.4,0.48,0.487,8.5,9.5,0.887,1.6,5.1,6.7,4.2,1.7,0.3,2.1,1.8,24.8
102,DeMar DeRozan,2,27,TOR,26,26,35.6,10,20.8,0.483,0.5,1.6,0.286,9.6,19.2,0.5,0.494,7.7,9.1,0.848,0.9,4.3,5.2,4.2,1.2,0.1,2.7,1.8,28.3
183,George Hill,1,30,UTA,11,11,32.7,7.1,13.3,0.534,2.4,5.2,0.456,4.7,8.1,0.584,0.623,3.5,3.9,0.884,0.4,3.2,3.5,4.2,1.1,0.2,1.4,2.4,20
137,Marc Gasol,5,32,MEM,26,26,33.7,7.3,15.8,0.459,1.6,3.6,0.436,5.7,12.2,0.465,0.508,3.7,4.5,0.819,0.9,5.5,6.3,4.1,0.9,1.6,2,2.2,19.8
412,Dion Waiters,2,25,MIA,16,16,31.8,5.5,14.3,0.384,1.3,3.8,0.344,4.2,10.5,0.399,0.43,1.9,2.9,0.652,0.4,3,3.4,3.9,0.9,0.6,2.2,2.6,14.2
174,Gordon Hayward,3,26,UTA,20,20,35.4,7.3,16.4,0.445,1.8,5,0.35,5.6,11.4,0.487,0.498,6.1,7,0.871,0.5,5.8,6.3,3.8,1,0.3,2.2,1.8,22.5
295,Emmanuel Mudiay,1,20,DEN,26,26,29.7,4.6,12.3,0.371,1.1,3.7,0.305,3.5,8.7,0.398,0.416,2.8,3.7,0.779,0.6,3.5,4.1,3.8,0.8,0.3,2.9,1.9,13.1
116,Monta Ellis,2,31,IND,24,23,31.4,3.7,8.5,0.433,0.6,2.1,0.3,3,6.4,0.477,0.47,1.8,2.1,0.84,0.1,3.2,3.3,3.7,1.1,0.5,2.3,2.3,9.7
287,Paul Millsap,4,31,ATL,24,24,32.9,6.3,13.7,0.463,1,3.2,0.329,5.3,10.5,0.504,0.502,3.3,4.4,0.752,1.5,6.5,8,3.7,1.7,1,2.3,2.6,17
171,Andrew Harrison,2,22,MEM,27,12,27.1,2,6.9,0.29,0.7,3,0.235,1.3,3.9,0.333,0.341,2.5,3.3,0.764,0.3,2,2.3,3.6,1.3,0.6,1.7,3.6,7.2
271,C.J. McCollum,2,25,POR,29,29,34.1,8.2,17.1,0.478,2.6,5.7,0.455,5.6,11.4,0.489,0.553,3.1,3.4,0.908,0.8,2.8,3.7,3.6,1,0.6,2.1,2.8,22
411,Dwyane Wade,2,35,CHI,24,24,31.4,7.2,16.2,0.443,1,3.1,0.333,6.1,13,0.47,0.476,4.2,5.2,0.8,1.2,3,4.2,3.6,1.5,0.7,2.3,2,19.5
35,Bradley Beal,2,23,WAS,22,22,35,7.7,16.9,0.456,2.8,6.9,0.404,4.9,10,0.491,0.538,3.8,4.7,0.808,0.7,2.2,2.9,3.5,1,0.3,1.7,2.2,22
85,DeMarcus Cousins,5,26,SAC,25,25,34.5,9.6,21.5,0.449,1.6,4.6,0.36,8,16.9,0.473,0.487,7.2,9.4,0.758,2.4,8.5,10.9,3.5,1.2,1.4,2.9,3.8,28.1
131,Evan Fournier,2,24,ORL,28,28,33.2,6.1,13.6,0.445,1.9,5.1,0.368,4.2,8.5,0.492,0.514,3.5,4.1,0.845,0.5,2.4,2.8,3.5,1,0,2,2.7,17.5
286,Patty Mills,1,28,SAS,26,4,23.2,4,8.4,0.477,2,4.8,0.424,2,3.6,0.548,0.599,1.2,1.3,0.941,0.4,1.5,1.9,3.5,0.8,0,1.3,1.5,11.3
432,Justise Winslow,3,20,MIA,11,9,33.9,4.5,12.9,0.345,0.6,2.6,0.241,3.8,10.3,0.372,0.37,1.5,2.3,0.64,1.2,3.2,4.4,3.5,1.5,0.3,1.5,2.9,11
199,Andre Iguodala,3,33,GSW,27,0,24.6,2.3,5.1,0.457,0.7,2.4,0.308,1.6,2.7,0.589,0.529,0.5,0.9,0.565,0.6,3,3.5,3.4,0.8,0.4,0.6,1.4,5.9
340,Julius Randle,4,22,LAL,27,27,28.6,5.2,10.4,0.502,0.1,0.6,0.176,5.1,9.8,0.523,0.507,2.4,3.6,0.68,2,6.8,8.7,3.3,0.7,0.4,2.9,3.4,13
400,Beno Udrih,1,34,DET,23,0,16.4,2.7,5.8,0.463,0.4,1,0.391,2.3,4.8,0.477,0.496,1,1,0.917,0.2,1.4,1.6,3.3,0.3,0,0.8,0.8,6.7
427,Lou Williams,2,30,LAL,30,0,25.1,5.8,13,0.445,2,5.3,0.371,3.8,7.7,0.496,0.52,5.3,6.2,0.865,0.3,2.2,2.4,3.3,1.4,0.2,2.3,1.1,18.9
239,Zach LaVine,2,21,MIN,25,25,38,7.7,16.2,0.473,2.5,6.7,0.375,5.2,9.5,0.542,0.55,2.8,3.3,0.854,0.4,2.7,3.1,3.2,0.8,0.2,2,2.3,20.7
261,Shelvin Mack,1,26,UTA,27,3,22.4,3.2,7.2,0.446,0.7,2.3,0.317,2.5,4.9,0.508,0.497,0.9,1.2,0.758,0.4,1.8,2.1,3.2,1,0,1.9,1.9,8.1
420,Isaiah Whitehead,1,21,BRK,21,15,23,2.6,6.4,0.407,0.4,1.7,0.25,2.2,4.7,0.465,0.441,0.9,1.1,0.792,0.3,2,2.3,3.2,0.7,0.5,2.3,2.7,6.6
66,Kentavious Caldwell-Pope,2,23,DET,28,28,33.4,5.3,12.8,0.412,2.1,5.5,0.387,3.1,7.3,0.431,0.496,2,2.5,0.826,1,2.6,3.6,3.1,1.2,0.1,1.2,1.8,14.8
142,Paul George,3,26,IND,21,21,35.4,7.8,17.3,0.449,2.5,6.3,0.394,5.3,11,0.481,0.521,3.8,4.1,0.92,1,6,7,3.1,1.9,0.3,2.9,2.7,21.8
216,Tyler Johnson,2,24,MIA,25,0,30.9,4.6,11.1,0.414,1.2,3.3,0.373,3.4,7.8,0.431,0.469,2.6,3.4,0.756,0.6,4,4.6,3.1,1.2,0.6,1.1,2.1,13
218,Nikola Jokic,4,21,DEN,24,10,23.5,4.3,7.8,0.556,0.3,1.1,0.269,4,6.7,0.602,0.575,2,2.5,0.817,2.4,4.8,7.2,3.1,0.6,0.6,1.4,3.2,11
245,Kawhi Leonard,3,25,SAS,26,26,33.6,8.2,17.4,0.471,1.9,4.8,0.389,6.3,12.5,0.503,0.525,6.2,6.7,0.92,1.2,4.8,6,3.1,2,0.5,1.8,1.5,24.5
21,D.J. Augustin,1,29,ORL,28,12,20.7,3.1,7.6,0.408,1.5,4.2,0.368,1.6,3.4,0.458,0.509,1.6,1.9,0.846,0.1,1.3,1.4,3,0.5,0,1.1,1.5,9.3
99,Malcolm Delaney,1,27,ATL,27,0,16.6,2.1,5.5,0.385,0.3,1.3,0.194,1.9,4.1,0.446,0.409,1.4,1.6,0.881,0.1,1.6,1.7,3,0.4,0,1.5,1.6,5.9
139,Rudy Gay,3,30,SAC,23,23,33.5,6.7,14.6,0.455,1.3,3.6,0.349,5.4,11,0.49,0.499,4,4.7,0.844,0.9,5.3,6.2,3,1.6,0.7,2.2,2.5,18.6
368,Ramon Sessions,1,30,CHO,28,1,16.8,2,5.2,0.384,0.4,1.3,0.306,1.6,3.9,0.409,0.421,1.9,2.6,0.712,0.2,1.3,1.5,3,0.6,0.1,0.9,1,6.3
398,Evan Turner,2,28,POR,29,1,24.9,3.6,8.5,0.423,0.5,1.8,0.294,3.1,6.7,0.456,0.453,1.5,1.8,0.863,0.6,3.4,4,3,0.8,0.3,1.2,1.8,9.2
51,Devin Booker,2,20,PHO,26,26,33.2,6.9,16.8,0.411,1.7,5.1,0.326,5.3,11.8,0.448,0.46,3.3,4.2,0.806,0.5,2.2,2.7,2.9,0.9,0.3,2.7,3,18.8
55,Malcolm Brogdon,2,24,MIL,25,0,21.3,2.8,6.8,0.409,1,2.2,0.429,1.8,4.6,0.4,0.48,1,1.2,0.897,0.4,1.7,2.2,2.9,0.9,0.1,1.3,1.6,7.6
91,Seth Curry,1,26,DAL,22,6,27,3.9,9.2,0.424,1.4,4,0.337,2.5,5.2,0.491,0.498,0.6,0.9,0.7,0.4,2,2.3,2.9,1,0.1,1.2,1.9,9.8
167,Gary Harris,2,22,DEN,7,6,25,4.9,9.4,0.515,1,2.6,0.389,3.9,6.9,0.563,0.568,1.9,2.7,0.684,0.4,2.9,3.3,2.9,0.7,0.3,0.9,2.3,12.6
231,Brandon Knight,2,25,PHO,27,4,24,4.3,11.5,0.373,1,3.2,0.326,3.3,8.3,0.391,0.418,3,3.6,0.844,0.6,2.1,2.7,2.9,0.6,0,1.9,1.6,12.6
17,Carmelo Anthony,3,32,NYK,26,26,34.2,8,18.5,0.429,1.9,5.7,0.336,6,12.8,0.471,0.481,4.5,5.2,0.866,0.8,5.2,6,2.8,1,0.4,1.9,2.9,22.3
149,Eric Gordon,2,28,HOU,28,8,30.7,6,13.5,0.443,3.7,8.4,0.441,2.3,5.1,0.448,0.58,1.8,2.3,0.81,0.4,2.3,2.6,2.8,0.7,0.5,1.9,2,17.5
195,Marcelo Huertas,1,33,LAL,13,1,11.5,1.2,2.9,0.395,0.2,0.9,0.167,1,2,0.5,0.421,0.4,0.8,0.5,0.1,1,1.1,2.8,0.6,0.1,1.2,0.9,2.8
290,E'Twaun Moore,2,27,NOP,24,19,25.9,4.2,9.6,0.437,1,2.9,0.329,3.3,6.7,0.484,0.487,0.8,1.1,0.741,0.4,1.8,2.2,2.8,0.8,0.3,1.3,1.9,10.2
316,Victor Oladipo,2,24,OKC,24,24,34.3,6.3,13.9,0.455,2.1,5.6,0.381,4.2,8.3,0.505,0.531,1.3,2.1,0.62,0.5,4,4.5,2.8,0.9,0.3,1.8,1.8,16.1
71,Michael Carter-Williams,1,25,CHI,3,0,15,1.3,5,0.267,0.3,0.7,0.5,1,4.3,0.231,0.3,1,1.3,0.75,1,2,3,2.7,0.7,0.7,2,2,4
107,Toney Douglas,1,30,MEM,6,0,17.8,2.3,6,0.389,0.5,1.8,0.273,1.8,4.2,0.44,0.431,0.7,0.8,0.8,0.3,2.3,2.7,2.7,1,0.2,0.8,1.5,5.8
138,Pau Gasol,5,36,SAS,25,25,26.4,5.1,10.1,0.504,0.6,1.3,0.455,4.5,8.8,0.511,0.534,1.3,2.1,0.623,1.3,6.3,7.6,2.7,0.4,1.1,1.2,1.6,12.1
225,Cory Joseph,2,25,TOR,26,0,21.8,3.5,7.5,0.459,0.5,1.4,0.361,3,6.2,0.481,0.492,1.4,1.8,0.787,0.6,2.1,2.7,2.7,0.8,0.1,1,1.7,8.8
28,Matt Barnes,3,36,SAC,24,4,25,2.5,7,0.359,1.2,4,0.295,1.3,3,0.444,0.443,0.9,1.3,0.71,1,3.9,4.8,2.6,0.8,0.4,1.7,2.4,7.1
53,Avery Bradley,2,26,BOS,26,26,35.3,7.3,15.2,0.477,2.2,5.2,0.426,5,10,0.504,0.551,1.2,1.6,0.756,1.2,6.4,7.6,2.6,1.2,0.2,1.8,2.6,18
65,Jose Calderon,1,35,LAL,14,9,13.9,1.9,3.9,0.481,0.7,1.7,0.417,1.1,2.1,0.533,0.574,0.3,0.3,1,0.4,1.8,2.2,2.6,0.4,0.1,1.6,1.1,4.7
112,Kris Dunn,1,22,MIN,26,5,17.3,1.6,4.1,0.383,0.2,0.8,0.273,1.3,3.3,0.412,0.411,0.8,1.3,0.636,0.4,1.8,2.2,2.6,1.1,0.3,1.3,2.2,4.2
145,Manu Ginobili,2,39,SAS,22,0,19.4,2.4,6.5,0.364,1.1,3.1,0.362,1.2,3.4,0.365,0.451,1.4,1.5,0.882,0.4,2.1,2.5,2.6,1.3,0.2,1.6,1.5,7.2
226,Frank Kaminsky,5,23,CHO,26,6,25.3,3.8,10.1,0.378,1.2,4.2,0.291,2.6,5.8,0.441,0.439,1.3,1.9,0.673,0.9,3.8,4.7,2.6,0.6,0.4,1.1,1.3,10.1
230,Sean Kilpatrick,2,27,BRK,25,15,27.8,5.2,12.1,0.434,1.7,4.6,0.362,3.6,7.4,0.478,0.503,4.1,4.9,0.836,0.5,4.1,4.6,2.6,0.7,0.1,2.6,2.1,16.2
307,Joakim Noah,5,31,NYK,23,23,21.2,2,4.2,0.469,0,0,0,2,4.1,0.474,0.469,0.5,1.6,0.306,3,4.7,7.7,2.6,0.7,0.8,1.2,2.6,4.4
409,Nikola Vucevic,5,26,ORL,25,16,27.5,5.6,12.7,0.437,0.2,0.9,0.273,5.3,11.8,0.449,0.447,1.2,1.9,0.617,2.6,8.4,10.9,2.6,0.8,0.9,1.3,2.1,12.5
34,Kent Bazemore,3,27,ATL,25,22,26.4,4,10.8,0.367,1.1,3.9,0.289,2.8,6.9,0.41,0.419,1.5,2,0.76,0.7,2.7,3.4,2.5,1.4,0.6,1.7,2.2,10.6
89,Jae Crowder,3,26,BOS,18,18,30.3,4.8,9.9,0.483,2.1,5.3,0.396,2.7,4.6,0.585,0.59,1.6,1.7,0.903,0.5,4.5,5,2.5,0.9,0.4,1.3,2.6,13.2
