Player,Season,Age,Points,Rebounds,Assists,Minutes
LaMarcus Aldridge,2011-12,26,21.7,8.0,2.4,36.3
LaMarcus Aldridge,2012-13,27,21.1,9.1,2.6,37.7
LaMarcus Aldridge,2013-14,28,23.2,11.1,2.6,36.2
LaMarcus Aldridge,2014-15,29,23.4,10.2,1.7,35.4
Carmelo Anthony,2010-11,26,25.6,7.3,2.9,35.7
Carmelo Anthony,2011-12,27,22.6,6.3,3.6,34.1
Carmelo Anthony,2012-13,28,28.7,6.9,2.6,37.0
Carmelo Anthony,2013-14,29,27.4,8.1,3.1,38.7
Carmelo Anthony,2014-15,30,24.2,6.6,3.1,35.7
Carmelo Anthony,2006-07,22,28.9,6.0,3.8,38.2
Carmelo Anthony,2007-08,23,25.7,7.4,3.4,36.4
Carmelo Anthony,2009-10,25,28.2,6.6,3.2,38.2
Carlos Boozer,2006-07,25,20.9,11.7,3.0,34.6
Carlos Boozer,2007-08,26,21.1,10.4,2.9,34.9
Chris Bosh,2005-06,21,22.5,9.2,2.6,39.3
Chris Bosh,2013-14,29,16.2,6.6,1.1,32.0
Chris Bosh,2006-07,22,22.6,10.7,2.5,38.5
Chris Bosh,2014-15,30,21.1,7.0,2.2,35.4
Chris Bosh,2007-08,23,22.3,8.7,2.6,36.2
Chris Bosh,2008-09,24,22.7,10.0,2.5,38.0
Chris Bosh,2009-10,25,24.0,10.8,2.4,36.1
Chris Bosh,2010-11,26,18.7,8.3,1.9,36.3
Chris Bosh,2011-12,27,18.0,7.9,1.8,35.2
Chris Bosh,2012-13,28,16.6,6.8,1.7,33.2
Elton Brand,2001-02,22,18.2,11.6,2.4,37.8
Elton Brand,2005-06,26,24.7,10.0,2.6,39.2
Kobe Bryant,2010-11,32,25.3,5.1,4.7,33.9
Kobe Bryant,2002-03,24,30.0,6.9,5.9,41.5
Kobe Bryant,2003-04,25,24.0,5.5,5.1,37.6
Kobe Bryant,2011-12,33,27.9,5.4,4.6,38.5
Kobe Bryant,2004-05,26,27.6,5.9,6.0,40.7
Kobe Bryant,2012-13,34,27.3,5.6,6.0,38.6
Kobe Bryant,2005-06,27,35.4,5.3,4.5,41.0
Kobe Bryant,2013-14,35,13.8,4.3,6.3,29.5
Kobe Bryant,2006-07,28,31.6,5.7,5.4,40.8
Kobe Bryant,2014-15,36,22.3,5.7,5.6,34.5
Kobe Bryant,1997-98,19,15.4,3.1,2.5,26.0
Kobe Bryant,2007-08,29,28.3,6.3,5.4,38.9
Kobe Bryant,1999-00,21,22.5,6.3,4.9,38.2
Kobe Bryant,2008-09,30,26.8,5.2,4.9,36.1
Kobe Bryant,2000-01,22,28.5,5.9,5.0,40.9
Kobe Bryant,2009-10,31,27.0,5.4,5.0,38.8
Kobe Bryant,2001-02,23,25.2,5.5,5.5,38.3
Caron Butler,2006-07,26,19.1,7.4,3.7,39.3
Caron Butler,2007-08,27,20.3,6.7,4.9,39.9
Jimmy Butler,2014-15,25,20.0,5.8,3.3,38.7
Andrew Bynum,2011-12,24,18.7,11.8,1.4,35.2
Vince Carter,2006-07,30,25.2,6.0,4.8,38.1
Vince Carter,1999-00,23,25.7,5.8,3.9,38.1
Vince Carter,2000-01,24,27.6,5.5,3.9,39.7
Vince Carter,2001-02,25,24.7,5.2,4.0,39.8
Vince Carter,2002-03,26,20.6,4.4,3.3,34.2
Vince Carter,2003-04,27,22.5,4.8,4.8,38.2
Vince Carter,2004-05,28,24.5,5.2,4.2,36.7
Vince Carter,2005-06,29,24.2,5.8,4.3,36.8
Tyson Chandler,2012-13,30,10.4,10.7,0.9,32.8
DeMarcus Cousins,2014-15,24,24.1,12.7,3.6,34.1
Stephen Curry,2013-14,25,24.0,4.3,8.5,36.5
Stephen Curry,2014-15,26,23.8,4.3,7.7,32.7
Anthony Davis,2013-14,20,20.8,10.0,1.6,35.2
Anthony Davis,2014-15,21,24.4,10.2,2.2,36.1
Luol Deng,2012-13,27,16.5,6.3,3.0,38.7
Luol Deng,2011-12,26,15.3,6.5,2.9,39.4
DeMar DeRozan,2013-14,24,22.7,4.3,4.0,38.2
Tim Duncan,2004-05,28,20.3,11.1,2.7,33.4
Tim Duncan,2014-15,38,13.9,9.1,3.0,28.9
Tim Duncan,2005-06,29,18.6,11.0,3.2,34.8
Tim Duncan,1997-98,21,21.1,11.9,2.7,39.1
Tim Duncan,2006-07,30,20.0,10.6,3.4,34.1
Tim Duncan,1999-00,23,23.2,12.4,3.2,38.9
Tim Duncan,2007-08,31,19.3,11.3,2.8,34.0
Tim Duncan,2000-01,24,22.2,12.2,3.0,38.7
Tim Duncan,2008-09,32,19.3,10.7,3.5,33.7
Tim Duncan,2001-02,25,25.5,12.7,3.7,40.6
Tim Duncan,2009-10,33,17.9,10.1,3.2,31.3
Tim Duncan,2002-03,26,23.3,12.9,3.9,39.3
Tim Duncan,2010-11,34,13.4,8.9,2.7,28.4
Tim Duncan,2003-04,27,22.3,12.4,3.1,36.6
Tim Duncan,2012-13,36,17.8,9.9,2.7,30.1
Kevin Durant,2009-10,21,30.1,7.6,2.8,39.5
Kevin Durant,2010-11,22,27.7,6.8,2.7,38.9
Kevin Durant,2011-12,23,28.0,8.0,3.5,38.6
Kevin Durant,2012-13,24,28.1,7.9,4.6,38.5
Kevin Durant,2013-14,25,32.0,7.4,5.5,38.5
Kevin Durant,2014-15,26,25.4,6.6,4.1,33.8
Kevin Garnett,2006-07,30,22.4,12.8,4.1,39.4
Kevin Garnett,1997-98,21,18.5,9.6,4.2,39.3
Kevin Garnett,2007-08,31,18.8,9.2,3.4,32.8
Kevin Garnett,1999-00,23,22.9,11.8,5.0,40.0
Kevin Garnett,2008-09,32,15.8,8.5,2.5,31.1
Kevin Garnett,2000-01,24,22.0,11.4,5.0,39.5
Kevin Garnett,2009-10,33,14.3,7.3,2.7,29.9
Kevin Garnett,2001-02,25,21.2,12.1,5.2,39.2
Kevin Garnett,2010-11,34,14.9,8.9,2.4,31.3
Kevin Garnett,2002-03,26,23.0,13.4,6.0,40.5
Kevin Garnett,2012-13,36,14.8,7.8,2.3,29.7
Kevin Garnett,2003-04,27,24.2,13.9,5.0,39.4
Kevin Garnett,2004-05,28,22.2,13.5,5.7,38.1
Kevin Garnett,1996-97,20,17.0,8.0,3.1,38.9
Kevin Garnett,2005-06,29,21.8,12.7,4.1,38.9
Marc Gasol,2011-12,27,14.6,8.9,3.1,36.5
Marc Gasol,2014-15,30,17.4,7.8,3.8,33.2
Pau Gasol,2005-06,25,20.4,8.9,4.6,39.2
Pau Gasol,2008-09,28,18.9,9.6,3.5,37.0
Pau Gasol,2009-10,29,18.3,11.3,3.4,37.0
Pau Gasol,2010-11,30,18.8,10.2,3.3,37.0
Pau Gasol,2014-15,34,18.5,11.8,2.7,34.4
Paul George,2012-13,22,17.4,7.6,4.1,37.6
Paul George,2013-14,23,21.7,6.8,3.5,36.2
Manu Ginobili,2010-11,33,17.4,3.7,4.9,30.3
Manu Ginobili,2004-05,27,16.0,4.4,3.9,29.6
Danny Granger,2008-09,25,25.8,5.1,2.7,36.2
Blake Griffin,2010-11,21,22.5,12.1,3.8,38.0
Blake Griffin,2011-12,22,20.7,10.9,3.2,36.2
Blake Griffin,2012-13,23,18.0,8.3,3.7,32.5
Blake Griffin,2013-14,24,24.1,9.5,3.9,35.8
Blake Griffin,2014-15,25,21.9,7.6,5.3,35.2
James Harden,2013-14,24,25.4,4.7,6.1,38.0
James Harden,2014-15,25,27.4,5.7,7.0,36.8
James Harden,2012-13,23,25.9,4.9,5.8,38.3
Devin Harris,2008-09,25,21.3,3.3,6.9,36.1
Roy Hibbert,2011-12,25,12.8,8.8,1.7,29.8
Roy Hibbert,2013-14,27,10.8,6.6,1.1,29.7
Jrue Holiday,2012-13,22,17.7,4.2,8.0,37.5
Al Horford,2014-15,28,15.2,7.2,3.2,30.5
Al Horford,2009-10,23,14.2,9.9,2.3,35.1
Al Horford,2010-11,24,15.3,9.3,3.5,35.1
Dwight Howard,2013-14,28,18.3,12.2,1.8,33.7
Dwight Howard,2006-07,21,17.6,12.3,1.9,36.9
Dwight Howard,2007-08,22,20.7,14.2,1.3,37.7
Dwight Howard,2008-09,23,20.6,13.8,1.4,35.7
Dwight Howard,2009-10,24,18.3,13.2,1.8,34.7
Dwight Howard,2010-11,25,22.9,14.1,1.4,37.6
Dwight Howard,2011-12,26,20.6,14.5,1.9,38.3
Dwight Howard,2012-13,27,17.1,12.4,1.4,35.8
Josh Howard,2006-07,26,18.9,6.8,1.8,35.1
Andre Iguodala,2011-12,28,12.4,6.1,5.5,35.6
Kyrie Irving,2012-13,20,22.5,3.7,5.9,34.7
Kyrie Irving,2013-14,21,20.8,3.6,6.1,35.2
Kyrie Irving,2014-15,22,21.7,3.2,5.2,36.4
LeBron James,2006-07,22,27.3,6.7,6.0,40.9
LeBron James,2014-15,30,25.3,6.0,7.4,36.1
LeBron James,2007-08,23,30.0,7.9,7.2,40.4
LeBron James,2008-09,24,28.4,7.6,7.2,37.7
LeBron James,2009-10,25,29.7,7.3,8.6,39.0
LeBron James,2010-11,26,26.7,7.5,7.0,38.8
LeBron James,2011-12,27,27.1,7.9,6.2,37.5
LeBron James,2004-05,20,27.2,7.4,7.2,42.4
LeBron James,2012-13,28,26.8,8.0,7.3,37.9
LeBron James,2005-06,21,31.4,7.0,6.6,42.5
LeBron James,2013-14,29,27.1,6.9,6.3,37.7
Joe Johnson,2006-07,25,25.0,4.2,4.4,41.4
Joe Johnson,2007-08,26,21.7,4.5,5.8,40.8
Joe Johnson,2008-09,27,21.4,4.4,5.8,39.5
Joe Johnson,2009-10,28,21.3,4.6,4.9,38.0
Joe Johnson,2010-11,29,18.2,4.0,4.7,35.5
Joe Johnson,2011-12,30,18.8,3.7,3.9,35.5
Joe Johnson,2013-14,32,15.8,3.4,2.7,32.6
Chris Kaman,2009-10,27,18.5,9.3,1.6,34.3
Kyle Korver,2014-15,33,12.1,4.1,2.6,32.2
David Lee,2009-10,26,20.2,11.7,3.6,37.3
David Lee,2012-13,29,18.5,11.2,3.5,36.8
Damian Lillard,2013-14,23,20.7,3.5,5.6,35.8
Damian Lillard,2014-15,24,21.0,4.6,6.2,35.7
Brook Lopez,2012-13,24,19.4,6.9,0.9,30.4
Kevin Love,2011-12,23,26.0,13.3,2.0,39.0
Kevin Love,2013-14,25,26.1,12.5,4.4,36.3
Kevin Love,2010-11,22,20.2,15.2,2.5,35.8
Kyle Lowry,2014-15,28,17.8,4.7,6.8,34.5
Paul Millsap,2013-14,28,17.9,8.5,3.1,33.5
Paul Millsap,2014-15,29,16.7,7.8,3.1,32.7
Jameer Nelson,2008-09,26,16.7,3.5,5.4,31.2
Joakim Noah,2012-13,27,11.9,11.1,4.0,36.8
Joakim Noah,2013-14,28,12.6,11.3,5.4,35.3
Dirk Nowitzki,2001-02,23,23.4,9.9,2.4,38.0
Dirk Nowitzki,2009-10,31,25.0,7.7,2.7,37.5
Dirk Nowitzki,2002-03,24,25.1,9.9,3.0,39.0
Dirk Nowitzki,2010-11,32,23.0,7.0,2.6,34.3
Dirk Nowitzki,2003-04,25,21.8,8.7,2.7,37.9
Dirk Nowitzki,2011-12,33,21.6,6.7,2.2,33.5
Dirk Nowitzki,2004-05,26,26.1,9.7,3.1,38.7
Dirk Nowitzki,2013-14,35,21.7,6.2,2.7,32.9
Dirk Nowitzki,2005-06,27,26.6,9.0,2.8,38.1
Dirk Nowitzki,2014-15,36,17.3,5.9,1.9,29.6
Dirk Nowitzki,2006-07,28,24.6,8.9,3.4,36.2
Dirk Nowitzki,2007-08,29,23.6,8.6,3.5,36.0
Dirk Nowitzki,2008-09,30,25.9,8.4,2.4,37.7
Jermaine O'Neal,2004-05,26,24.3,8.8,1.9,34.8
Jermaine O'Neal,2005-06,27,20.1,9.3,2.6,35.3
Jermaine O'Neal,2006-07,28,19.4,9.6,2.4,35.6
Jermaine O'Neal,2001-02,23,19.0,10.5,1.6,37.6
Jermaine O'Neal,2002-03,24,20.8,10.3,2.0,37.2
Jermaine O'Neal,2003-04,25,20.1,10.0,2.1,35.7
Tony Parker,2013-14,31,16.7,2.3,5.7,29.4
Tony Parker,2005-06,23,18.9,3.3,5.8,33.9
Tony Parker,2006-07,24,18.6,3.2,5.5,32.5
Tony Parker,2008-09,26,22.0,3.1,6.9,34.1
Tony Parker,2011-12,29,18.3,2.9,7.7,32.1
Tony Parker,2012-13,30,20.3,3.0,7.6,32.9
Chris Paul,2014-15,29,19.1,4.6,10.2,34.8
Chris Paul,2007-08,22,21.1,4.0,11.6,37.6
Chris Paul,2008-09,23,22.8,5.5,11.0,38.5
Chris Paul,2009-10,24,18.7,4.2,10.7,38.0
Chris Paul,2010-11,25,15.9,4.1,9.8,36.0
Chris Paul,2011-12,26,19.8,3.6,9.1,36.4
Chris Paul,2012-13,27,16.9,3.7,9.7,33.4
Chris Paul,2013-14,28,19.1,4.3,10.7,35.0
Paul Pierce,2009-10,32,18.3,4.4,3.1,34.0
Paul Pierce,2001-02,24,26.1,6.9,3.2,40.3
Paul Pierce,2010-11,33,18.9,5.4,3.3,34.7
Paul Pierce,2002-03,25,25.9,7.3,4.4,39.2
Paul Pierce,2011-12,34,19.4,5.2,4.5,34.0
Paul Pierce,2003-04,26,23.0,6.5,5.1,38.7
Paul Pierce,2004-05,27,21.6,6.6,4.2,36.1
Paul Pierce,2005-06,28,26.8,6.7,4.7,39.0
Paul Pierce,2007-08,30,19.6,5.1,4.5,35.9
Paul Pierce,2008-09,31,20.5,5.6,3.6,37.5
Zach Randolph,2009-10,28,20.8,11.7,1.8,37.7
Zach Randolph,2012-13,31,15.4,11.2,1.4,34.3
Rajon Rondo,2012-13,26,13.7,5.6,11.1,37.4
Rajon Rondo,2009-10,23,13.7,4.4,9.8,36.6
Rajon Rondo,2010-11,24,10.6,4.4,11.2,37.2
Rajon Rondo,2011-12,25,11.9,4.8,11.7,36.9
Derrick Rose,2009-10,21,20.8,3.8,6.0,36.8
Derrick Rose,2010-11,22,25.0,4.1,7.7,37.4
Derrick Rose,2011-12,23,21.8,3.4,7.9,35.3
Amar'e Stoudemire,2009-10,27,23.1,8.9,1.0,34.6
Amar'e Stoudemire,2010-11,28,25.3,8.2,2.6,36.8
Amar'e Stoudemire,2004-05,22,26.0,8.9,1.6,36.1
Amar'e Stoudemire,2006-07,24,20.4,9.6,1.0,32.8
Amar'e Stoudemire,2007-08,25,25.2,9.1,1.5,33.9
Amar'e Stoudemire,2008-09,26,21.4,8.1,2.0,36.8
Jeff Teague,2014-15,26,15.9,2.5,7.0,30.5
Klay Thompson,2014-15,24,21.7,3.2,2.9,31.9
Dwyane Wade,2008-09,27,30.2,5.0,7.5,38.6
Dwyane Wade,2009-10,28,26.6,4.8,6.5,36.3
Dwyane Wade,2010-11,29,25.5,6.4,4.6,37.1
Dwyane Wade,2011-12,30,22.1,4.8,4.6,33.2
Dwyane Wade,2004-05,23,24.1,5.2,6.8,38.6
Dwyane Wade,2012-13,31,21.2,5.0,5.1,34.7
Dwyane Wade,2005-06,24,27.2,5.7,6.7,38.6
Dwyane Wade,2013-14,32,19.0,4.5,4.7,32.9
Dwyane Wade,2006-07,25,27.4,4.7,7.5,37.9
Dwyane Wade,2014-15,33,21.5,3.5,4.8,31.8
Dwyane Wade,2007-08,26,24.6,4.2,6.9,38.3
John Wall,2013-14,23,19.3,4.1,8.8,36.3
John Wall,2014-15,24,17.6,4.6,10.0,35.9
Gerald Wallace,2009-10,27,18.2,10.0,2.1,41.0
David West,2007-08,27,20.6,8.9,2.3,37.8
David West,2008-09,28,21.0,8.5,2.3,39.2
Russell Westbrook,2010-11,22,21.9,4.6,8.2,34.7
Russell Westbrook,2011-12,23,23.6,4.6,5.5,35.3
Russell Westbrook,2012-13,24,23.2,5.2,7.4,34.9
Russell Westbrook,2014-15,26,28.1,7.3,8.6,34.4
Deron Williams,2009-10,25,18.7,4.0,10.5,36.9
Deron Williams,2010-11,26,20.1,4.0,10.3,37.9
Deron Williams,2011-12,27,21.0,3.3,8.7,36.3
Mo Williams,2008-09,26,17.8,3.4,4.1,35.0
Metta World Peace,2003-04,24,18.3,5.3,3.7,37.2
